4.2	34.1932
4.25	34.1417
4.3	34.0901
4.35	34.0385
4.4	33.9868
4.45	33.9351
4.5	33.8834
4.55	33.8316
4.6	33.7798
4.65	33.728
4.7	33.6762
4.75	33.6243
4.8	33.5724
4.85	33.5206
4.9	33.4686
4.95	33.4167
5	33.3648
5.05	33.3129
5.1	33.261
5.15	33.209
5.2	33.1571
5.25	33.1052
5.3	33.0533
5.35	33.0013
5.4	32.9494
5.45	32.8976
5.5	32.8457
5.55	32.7938
5.6	32.742
5.65	32.6902
5.7	32.6384
5.75	32.5866
5.8	32.5348
5.85	32.4831
5.9	32.4314
5.95	32.3797
6	32.3281
6.05	32.2765
6.1	32.2249
6.15	32.1734
6.2	32.1219
6.25	32.0704
6.3	32.019
6.35	31.9676
6.4	31.9162
6.45	31.8649
6.5	31.8137
6.55	31.7624
6.6	31.7113
6.65	31.6601
6.7	31.609
6.75	31.558
6.8	31.507
6.85	31.4561
6.9	31.4052
6.95	31.3544
7	31.3036
7.05	31.2529
7.1	31.2022
7.15	31.1516
7.2	31.101
7.25	31.0505
7.3	31
7.35	30.9497
7.4	30.8993
7.45	30.849
7.5	30.7988
7.55	30.7487
7.6	30.6986
7.65	30.6486
7.7	30.5986
7.75	30.5487
7.8	30.4988
7.85	30.4491
7.9	30.3994
7.95	30.3497
8	30.3001
8.05	30.2506
8.1	30.2012
8.15	30.1518
8.2	30.1025
8.25	30.0532
8.3	30.004
8.35	29.9549
8.4	29.9059
8.45	29.8569
8.5	29.808
8.55	29.7592
8.6	29.7104
8.65	29.6617
8.7	29.6131
8.75	29.5646
8.8	29.5161
8.85	29.4677
8.9	29.4193
8.95	29.3711
9	29.3229
9.05	29.2748
9.1	29.2267
9.15	29.1788
9.2	29.1309
9.25	29.0831
9.3	29.0353
9.35	28.9876
9.4	28.94
9.45	28.8925
9.5	28.8451
9.55	28.7977
9.6	28.7504
9.65	28.7032
9.7	28.656
9.75	28.609
9.8	28.562
9.85	28.515
9.9	28.4682
9.95	28.4214
10	28.3748
10.05	28.3281
10.1	28.2816
10.15	28.2351
10.2	28.1888
10.25	28.1425
10.3	28.0962
10.35	28.0501
10.4	28.004
10.45	27.958
10.5	27.9121
10.55	27.8662
10.6	27.8205
10.65	27.7748
10.7	27.7292
10.75	27.6837
10.8	27.6382
10.85	27.5928
10.9	27.5475
10.95	27.5023
11	27.4572
11.05	27.4121
11.1	27.3671
11.15	27.3222
11.2	27.2774
11.25	27.2326
11.3	27.1879
11.35	27.1433
11.4	27.0988
11.45	27.0544
11.5	27.01
11.55	26.9657
11.6	26.9215
11.65	26.8774
11.7	26.8333
11.75	26.7894
11.8	26.7455
11.85	26.7016
11.9	26.6579
11.95	26.6142
12	26.5706
12.05	26.5271
12.1	26.4837
12.15	26.4403
12.2	26.3971
12.25	26.3539
12.3	26.3107
12.35	26.2677
12.4	26.2247
12.45	26.1818
12.5	26.139
12.55	26.0963
12.6	26.0536
12.65	26.011
12.7	25.9685
12.75	25.9261
12.8	25.8837
12.85	25.8415
12.9	25.7993
12.95	25.7571
13	25.7151
13.05	25.6731
13.1	25.6312
13.15	25.5894
13.2	25.5477
13.25	25.506
13.3	25.4644
13.35	25.4229
13.4	25.3815
13.45	25.3401
13.5	25.2988
13.55	25.2576
13.6	25.2165
13.65	25.1754
13.7	25.1344
13.75	25.0935
13.8	25.0527
13.85	25.0119
13.9	24.9712
13.95	24.9306
14	24.8901
14.05	24.8496
14.1	24.8093
14.15	24.7689
14.2	24.7287
14.25	24.6885
14.3	24.6485
14.35	24.6084
14.4	24.5685
14.45	24.5286
14.5	24.4888
14.55	24.4491
14.6	24.4095
14.65	24.3699
14.7	24.3304
14.75	24.291
14.8	24.2516
14.85	24.2123
14.9	24.1731
14.95	24.134
15	24.0949
15.05	24.0559
15.1	24.017
15.15	23.9782
15.2	23.9394
15.25	23.9007
15.3	23.8621
15.35	23.8235
15.4	23.785
15.45	23.7466
15.5	23.7083
15.55	23.67
15.6	23.6318
15.65	23.5937
15.7	23.5556
15.75	23.5176
15.8	23.4797
15.85	23.4419
15.9	23.4041
15.95	23.3664
16	23.3287
16.05	23.2912
16.1	23.2537
16.15	23.2163
16.2	23.1789
16.25	23.1416
16.3	23.1044
16.35	23.0673
16.4	23.0302
16.45	22.9932
16.5	22.9562
16.55	22.9194
16.6	22.8826
16.65	22.8458
16.7	22.8092
16.75	22.7726
16.8	22.736
16.85	22.6996
16.9	22.6632
16.95	22.6269
17	22.5906
17.05	22.5544
17.1	22.5183
17.15	22.4822
17.2	22.4462
17.25	22.4103
17.3	22.3745
17.35	22.3387
17.4	22.303
17.45	22.2673
17.5	22.2317
17.55	22.1962
17.6	22.1608
17.65	22.1254
17.7	22.09
17.75	22.0548
17.8	22.0196
17.85	21.9845
17.9	21.9494
17.95	21.9144
18	21.8795
18.05	21.8446
18.1	21.8098
18.15	21.7751
18.2	21.7404
18.25	21.7058
18.3	21.6713
18.35	21.6368
18.4	21.6024
18.45	21.5681
18.5	21.5338
18.55	21.4996
18.6	21.4654
18.65	21.4313
18.7	21.3973
18.75	21.3633
18.8	21.3294
18.85	21.2956
18.9	21.2618
18.95	21.2281
19	21.1944
19.05	21.1609
19.1	21.1273
19.15	21.0939
19.2	21.0605
19.25	21.0271
19.3	20.9939
19.35	20.9606
19.4	20.9275
19.45	20.8944
19.5	20.8614
19.55	20.8284
19.6	20.7955
19.65	20.7627
19.7	20.7299
19.75	20.6971
19.8	20.6645
19.85	20.6319
19.9	20.5993
19.95	20.5669
20	20.5344
20.05	20.5021
