grating_mod grating_value[um] SAW_freq[Hz] SAW_freq_error[Hz] A[Wm^-2] A_err[Wm^-2] alpha[m^2s^-1] alpha_err[m2s-1] beta[s^0.5] beta_err[s^0.5] B[Wm^-2] B_err[Wm^-2] theta theta_err tau[s] tau_err[s] C[Wm^-2] C_err[Wm^-2]
0.9 5.7663 5.5063675e+08 4683.1689 0.022334613 0.0010834005 2.1698141e-05 3.8547867e-07 1.0770419e-05 2.1291103e-06 0.0082671263 8.0399243e-05 1.4725226 0.0063807717 2.4009541e-08 2.8496892e-10 -0.00014643984 1.4354231e-05
0.91 5.83037 5.5063675e+08 4683.1699 0.02233454 0.0010833885 2.2182975e-05 3.9408401e-07 1.0770279e-05 2.1291066e-06 0.008267124 8.0399237e-05 1.4725235 0.0063807746 2.4009545e-08 2.8496904e-10 -0.00014644063 1.4354349e-05
0.92 5.89444 5.5063675e+08 4683.1699 0.022334468 0.0010833769 2.2673166e-05 4.0278441e-07 1.077014e-05 2.1291032e-06 0.0082671235 8.0399235e-05 1.4725235 0.0063807746 2.4009545e-08 2.8496906e-10 -0.00014644141 1.4354463e-05
0.93 5.95851 5.5063672e+08 4683.1729 0.022334402 0.0010833659 2.3168714e-05 4.1157999e-07 1.0770014e-05 2.1290997e-06 0.0082671173 8.0399225e-05 1.4725263 0.0063807783 2.4009555e-08 2.8496938e-10 -0.00014644214 1.4354576e-05
0.94 6.02258 5.5063669e+08 4683.1762 0.019651257 0.0013771834 2.3079648e-05 4.7811216e-07 9.7946334e-07 3.9711729e-06 0.0093083059 9.3760169e-05 -1.8173678 0.0063357954 2.2759026e-08 2.5701183e-10 -0.00015408131 1.4896936e-05
0.95 6.08665 5.5063711e+08 4683.1265 0.019651395 0.0013771655 2.3573354e-05 4.8832552e-07 9.7988031e-07 3.9710697e-06 0.0093082977 9.3759453e-05 -1.8174208 0.0063357486 2.275908e-08 2.5701077e-10 -0.00015408072 1.4896924e-05
0.96 6.15072 5.5063711e+08 4683.1259 0.019651614 0.0013771584 2.4072313e-05 4.9864959e-07 9.8052337e-07 3.970964e-06 0.0093082963 9.3759444e-05 -1.8174214 0.0063357479 2.2759083e-08 2.5701083e-10 -0.00015407968 1.4896981e-05
0.97 6.21479 5.5063711e+08 4683.1256 0.019651823 0.0013771514 2.4576496e-05 5.0908179e-07 9.8113966e-07 3.9708626e-06 0.0093082949 9.3759438e-05 -1.8174218 0.0063357488 2.2759086e-08 2.5701089e-10 -0.00015407868 1.4897038e-05
0.98 6.27886 5.5063711e+08 4683.1255 0.019652024 0.0013771447 2.5085903e-05 5.1962212e-07 9.8173143e-07 3.9707651e-06 0.0093082937 9.3759435e-05 -1.8174219 0.0063357493 2.2759088e-08 2.5701095e-10 -0.00015407772 1.4897093e-05
0.99 6.34293 5.5063711e+08 4683.1256 0.019652216 0.0013771381 2.5600533e-05 5.3027057e-07 9.8229599e-07 3.9706717e-06 0.0093082925 9.3759434e-05 -1.8174218 0.0063357506 2.275909e-08 2.5701102e-10 -0.00015407681 1.4897148e-05
1 6.407 5.5063711e+08 4683.1258 0.019652401 0.0013771316 2.6120388e-05 5.4102715e-07 9.8283832e-07 3.9705817e-06 0.0093082913 9.3759435e-05 -1.8174216 0.0063357519 2.2759092e-08 2.5701108e-10 -0.00015407593 1.4897201e-05
1.01 6.47107 5.5063704e+08 4683.1346 0.019652591 0.0013771271 2.6645472e-05 5.5189236e-07 9.8339777e-07 3.9704947e-06 0.0093082914 9.375956e-05 -1.8174123 0.0063357602 2.2759085e-08 2.5701133e-10 -0.00015407502 1.4897266e-05
1.02 6.53514 5.5063705e+08 4683.1335 0.019652756 0.0013771206 2.7175772e-05 5.6286511e-07 9.838834e-07 3.9704124e-06 0.0093082902 9.3759544e-05 -1.8174134 0.0063357602 2.2759088e-08 2.5701136e-10 -0.00015407424 1.4897316e-05
1.03 6.59921 5.5063684e+08 4683.1584 0.019652959 0.0013771198 2.7711314e-05 5.7394761e-07 9.8447408e-07 3.9703307e-06 0.0093082926 9.3759899e-05 -1.8173869 0.0063357858 2.2759064e-08 2.5701198e-10 -0.00015407325 1.4897403e-05
1.04 6.66328 5.5063685e+08 4683.1575 0.019653107 0.0013771135 2.8252062e-05 5.8513663e-07 9.8490973e-07 3.9702557e-06 0.0093082915 9.3759884e-05 -1.817388 0.0063357851 2.2759067e-08 2.57012e-10 -0.00015407256 1.4897451e-05
1.05 6.72735 5.5063686e+08 4683.1563 0.019653149 0.0013771048 2.8797996e-05 5.9643409e-07 9.850383e-07 3.9702179e-06 0.009308291 9.3759867e-05 -1.8173892 0.0063357848 2.2759069e-08 2.5701199e-10 -0.00015407244 1.4897517e-05
1.06 6.79142 5.5063687e+08 4683.155 0.019653156 0.0013770954 2.9349141e-05 6.0783977e-07 9.8506389e-07 3.9701928e-06 0.0093082907 9.3759847e-05 -1.8173905 0.0063357828 2.275907e-08 2.5701197e-10 -0.00015407252 1.4897588e-05
