grating_mod grating_value[um] SAW_freq[Hz] SAW_freq_error[Hz] A[Wm^-2] A_err[Wm^-2] alpha[m^2s^-1] alpha_err[m2s-1] beta[s^0.5] beta_err[s^0.5] B[Wm^-2] B_err[Wm^-2] theta theta_err tau[s] tau_err[s] C[Wm^-2] C_err[Wm^-2]
0.9 5.7663 5.5045333e+08 2962.9614 0.028914629 0.0011278659 2.335954e-05 3.5109384e-07 2.1807562e-05 1.2505696e-06 0.0088882123 7.5276045e-05 1.31237 0.0055671516 2.3901678e-08 2.4628164e-10 -0.00023558269 1.249998e-05
0.91 5.83037 5.5045332e+08 2962.9644 0.028914608 0.0011278548 2.3881513e-05 3.589314e-07 2.1807547e-05 1.250563e-06 0.0088882099 7.5276053e-05 1.3123717 0.0055671544 2.3901681e-08 2.4628176e-10 -0.00023558284 1.2500063e-05
0.92 5.89444 5.5045373e+08 2962.8779 0.028914459 0.0011278344 2.4409217e-05 3.6685326e-07 2.1807381e-05 1.2505581e-06 0.0088882725 7.5275861e-05 1.3123231 0.0055670948 2.3901585e-08 2.4627819e-10 -0.00023558369 1.2500078e-05
0.93 5.95851 5.5045374e+08 2962.8776 0.028914433 0.0011278236 2.4942722e-05 3.7486391e-07 2.180736e-05 1.2505521e-06 0.0088882726 7.527586e-05 1.3123229 0.0055670955 2.3901584e-08 2.4627818e-10 -0.00023558387 1.2500154e-05
0.94 6.02258 5.5045374e+08 2962.8776 0.027304268 0.0014464323 2.5018031e-05 4.3162762e-07 1.8021876e-05 2.0401528e-06 0.0096106349 8.6226922e-05 -1.803453 0.0056485918 2.3253485e-08 2.3507415e-10 -0.00024190608 1.2936448e-05
0.95 6.08665 5.5045373e+08 2962.8779 0.027304206 0.0014464177 2.5553142e-05 4.4085099e-07 1.8021789e-05 2.0401471e-06 0.009610635 8.6226922e-05 -1.8034529 0.0056485919 2.3253485e-08 2.3507415e-10 -0.00024190663 1.2936531e-05
0.96 6.15072 5.5045373e+08 2962.8784 0.027304139 0.0014464034 2.6093912e-05 4.5017197e-07 1.8021692e-05 2.0401426e-06 0.0096106351 8.6226924e-05 -1.8034526 0.0056485929 2.3253484e-08 2.3507415e-10 -0.00024190721 1.2936612e-05
0.97 6.21479 5.5045332e+08 2962.964 0.027303947 0.0014463978 2.6640314e-05 4.5959435e-07 1.8021427e-05 2.0401692e-06 0.0096106107 8.6227457e-05 -1.8033993 0.0056486471 2.3253502e-08 2.3507649e-10 -0.00024190818 1.29368e-05
0.98 6.27886 5.5045361e+08 2962.9039 0.027303951 0.001446378 2.7192424e-05 4.6910789e-07 1.8021427e-05 2.0401456e-06 0.0096106283 8.6227081e-05 -1.8034367 0.0056486079 2.3253489e-08 2.3507483e-10 -0.00024190855 1.2936802e-05
0.99 6.34293 5.5045362e+08 2962.9011 0.027303872 0.0014463641 2.7750176e-05 4.7872158e-07 1.8021313e-05 2.0401431e-06 0.0096106295 8.6227063e-05 -1.8034384 0.0056486071 2.3253488e-08 2.3507474e-10 -0.00024190919 1.2936875e-05
