Study Name	Tungsten_Calibration
Sample Name	2022-01-05
Run Name	spot0
Operator	Ben/Angus
Date	1/5/2022
Time	12:10
Sign	NEG
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	12:10:35
	
Time	Amplitude
1.120000E-8	-3.869553E-3
1.125000E-8	-3.595481E-3
1.130000E-8	-3.372797E-3
1.135000E-8	-3.182660E-3
1.140000E-8	-3.023355E-3
1.145000E-8	-2.905162E-3
1.150000E-8	-2.819514E-3
1.155000E-8	-2.756135E-3
1.160000E-8	-2.725302E-3
1.165000E-8	-2.721876E-3
1.170000E-8	-2.754422E-3
1.175000E-8	-2.797246E-3
1.180000E-8	-2.858912E-3
1.185000E-8	-2.961689E-3
1.190000E-8	-3.115855E-3
1.195000E-8	-3.336825E-3
1.200000E-8	-3.588629E-3
1.205000E-8	-3.874692E-3
1.210000E-8	-4.198439E-3
1.215000E-8	-4.541029E-3
1.220000E-8	-4.902462E-3
1.225000E-8	-5.284449E-3
1.230000E-8	-5.644169E-3
1.235000E-8	-5.990185E-3
1.240000E-8	-6.301942E-3
1.245000E-8	-6.589717E-3
1.250000E-8	-6.826104E-3
1.255000E-8	-7.000825E-3
1.260000E-8	-7.137861E-3
1.265000E-8	-7.254342E-3
1.270000E-8	-7.324573E-3
1.275000E-8	-7.363971E-3
1.280000E-8	-7.350267E-3
1.285000E-8	-7.343415E-3
1.290000E-8	-7.283462E-3
1.295000E-8	-7.165269E-3
1.300000E-8	-7.033371E-3
1.305000E-8	-6.865502E-3
1.310000E-8	-6.647958E-3
1.315000E-8	-6.411571E-3
1.320000E-8	-6.132360E-3
1.325000E-8	-5.841158E-3
1.330000E-8	-5.537966E-3
1.335000E-8	-5.174821E-3
1.340000E-8	-4.828805E-3
1.345000E-8	-4.482789E-3
1.350000E-8	-4.116217E-3
1.355000E-8	-3.780479E-3
1.360000E-8	-3.441315E-3
1.365000E-8	-3.141549E-3
1.370000E-8	-2.850347E-3
1.375000E-8	-2.559146E-3
1.380000E-8	-2.291926E-3
1.385000E-8	-2.053826E-3
1.390000E-8	-1.843133E-3
1.395000E-8	-1.658134E-3
1.400000E-8	-1.526237E-3
1.405000E-8	-1.433738E-3
1.410000E-8	-1.406331E-3
1.415000E-8	-1.426886E-3
1.420000E-8	-1.497117E-3
1.425000E-8	-1.611885E-3
1.430000E-8	-1.783180E-3
1.435000E-8	-1.992159E-3
1.440000E-8	-2.216556E-3
1.445000E-8	-2.500906E-3
1.450000E-8	-2.792107E-3
1.455000E-8	-3.109003E-3
1.460000E-8	-3.427612E-3
1.465000E-8	-3.758211E-3
1.470000E-8	-4.107653E-3
1.475000E-8	-4.438252E-3
1.480000E-8	-4.780842E-3
1.485000E-8	-5.097738E-3
1.490000E-8	-5.394078E-3
1.495000E-8	-5.640743E-3
1.500000E-8	-5.860001E-3
