Study Name	CuCrZrCCFE2MeV13uA0.025dpaV_single_crystal
Sample Name	2019-08-21
Run Name	5.099791e-5C45degSpot02
Operator	Angus Wylie
Date	8/21/2019
Time	19:30
Sign	FIX
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	19:32:30
	
Time	Amplitude
8.900000E-9	9.011830E-3
8.950000E-9	1.114617E-2
9.000000E-9	1.327708E-2
9.050000E-9	1.533604E-2
9.100000E-9	1.726311E-2
9.150000E-9	1.901375E-2
9.200000E-9	2.059137E-2
9.250000E-9	2.203882E-2
9.300000E-9	2.339033E-2
9.350000E-9	2.466477E-2
9.400000E-9	2.590837E-2
9.450000E-9	2.718794E-2
9.500000E-9	2.853090E-2
9.550000E-9	2.993038E-2
9.600000E-9	3.136754E-2
9.650000E-9	3.280471E-2
9.700000E-9	3.419562E-2
9.750000E-9	3.547006E-2
9.800000E-9	3.654236E-2
9.850000E-9	3.736801E-2
9.900000E-9	3.791786E-2
9.950000E-9	3.814740E-2
1.000000E-8	3.802578E-2
1.005000E-8	3.756671E-2
1.010000E-8	3.679245E-2
1.015000E-8	3.573728E-2
1.020000E-8	3.445428E-2
1.025000E-8	3.299142E-2
1.030000E-8	3.141208E-2
1.035000E-8	2.977964E-2
1.040000E-8	2.814891E-2
1.045000E-8	2.657299E-2
1.050000E-8	2.508958E-2
1.055000E-8	2.371922E-2
1.060000E-8	2.249103E-2
1.065000E-8	2.143414E-2
1.070000E-8	2.053827E-2
1.075000E-8	1.979142E-2
1.080000E-8	1.920560E-2
1.085000E-8	1.876537E-2
1.090000E-8	1.843991E-2
1.095000E-8	1.821551E-2
1.100000E-8	1.808875E-2
1.105000E-8	1.804422E-2
1.110000E-8	1.807334E-2
1.115000E-8	1.816241E-2
1.120000E-8	1.829773E-2
1.125000E-8	1.847417E-2
1.130000E-8	1.870541E-2
1.135000E-8	1.900689E-2
1.140000E-8	1.936490E-2
1.145000E-8	1.976230E-2
1.150000E-8	2.024193E-2
1.155000E-8	2.082776E-2
1.160000E-8	2.149410E-2
