Study Name	V_single_crystal
Sample Name	2019-08-18
Run Name	6.0403e-7C45degSpot08
Operator	Angus Wylie
Date	8/18/2019
Time	17:47
Sign	FIX
Grating Spacing	06.40um
Channel	2
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	17:49:03
	
Time	Amplitude
0.000000E+0	2.089793E-4
5.000000E-11	1.884240E-4
1.000000E-10	1.575909E-4
1.500000E-10	1.233320E-4
2.000000E-10	1.267579E-4
2.500000E-10	1.575909E-4
3.000000E-10	1.952757E-4
3.500000E-10	2.398123E-4
4.000000E-10	3.186078E-4
4.500000E-10	4.042550E-4
5.000000E-10	4.693469E-4
5.500000E-10	5.036058E-4
6.000000E-10	5.207353E-4
6.500000E-10	5.378647E-4
7.000000E-10	5.310130E-4
7.500000E-10	4.830505E-4
8.000000E-10	4.213845E-4
8.500000E-10	3.939774E-4
9.000000E-10	3.871256E-4
9.500000E-10	3.631444E-4
1.000000E-9	3.220337E-4
1.050000E-9	3.117560E-4
1.100000E-9	3.391631E-4
1.150000E-9	3.802738E-4
1.200000E-9	4.453657E-4
1.250000E-9	5.447165E-4
1.300000E-9	6.303638E-4
1.350000E-9	6.817521E-4
1.400000E-9	7.262887E-4
1.450000E-9	7.571217E-4
1.500000E-9	7.434182E-4
1.550000E-9	6.988816E-4
1.600000E-9	6.303638E-4
1.650000E-9	5.138835E-4
1.700000E-9	3.836997E-4
1.750000E-9	2.706453E-4
1.800000E-9	1.644427E-4
1.850000E-9	6.851780E-5
1.900000E-9	-3.425890E-6
1.950000E-9	-3.768479E-5
2.000000E-9	-5.824013E-5
2.050000E-9	-4.453657E-5
2.100000E-9	1.370356E-5
2.150000E-9	7.879547E-5
2.200000E-9	1.199062E-4
2.250000E-9	1.541651E-4
2.300000E-9	1.747204E-4
2.350000E-9	1.884240E-4
2.400000E-9	2.055534E-4
2.450000E-9	2.226829E-4
2.500000E-9	2.329605E-4
2.550000E-9	2.398123E-4
2.600000E-9	2.672194E-4
2.650000E-9	3.049042E-4
2.700000E-9	3.288854E-4
2.750000E-9	3.768479E-4
2.800000E-9	4.487916E-4
2.850000E-9	4.796246E-4
2.900000E-9	4.899023E-4
2.950000E-9	5.173094E-4
3.000000E-9	5.344389E-4
3.050000E-9	5.173094E-4
3.100000E-9	4.899023E-4
3.150000E-9	4.453657E-4
3.200000E-9	3.768479E-4
3.250000E-9	2.980524E-4
3.300000E-9	2.158311E-4
3.350000E-9	1.233320E-4
3.400000E-9	4.111068E-5
3.450000E-9	-1.027767E-5
3.500000E-9	-4.796246E-5
3.550000E-9	-8.907314E-5
3.600000E-9	-1.199062E-4
3.650000E-9	-1.267579E-4
3.700000E-9	-1.164803E-4
3.750000E-9	-9.592492E-5
3.800000E-9	-7.536958E-5
3.850000E-9	-6.166602E-5
3.900000E-9	-3.083301E-5
3.950000E-9	-6.851780E-6
4.000000E-9	-3.425890E-6
4.050000E-9	-1.370356E-5
4.100000E-9	-1.370356E-5
4.150000E-9	-6.851780E-6
4.200000E-9	-1.370356E-5
4.250000E-9	-2.055534E-5
4.300000E-9	0.000000E+0
4.350000E-9	3.768479E-5
4.400000E-9	7.879547E-5
4.450000E-9	1.336097E-4
4.500000E-9	1.849981E-4
4.550000E-9	2.363864E-4
4.600000E-9	3.117560E-4
4.650000E-9	3.768479E-4
4.700000E-9	4.008291E-4
4.750000E-9	4.008291E-4
4.800000E-9	4.042550E-4
4.850000E-9	3.939774E-4
4.900000E-9	3.699961E-4
4.950000E-9	3.494408E-4
5.000000E-9	3.288854E-4
5.050000E-9	2.877748E-4
5.100000E-9	2.329605E-4
5.150000E-9	2.021275E-4
5.200000E-9	1.987016E-4
5.250000E-9	1.747204E-4
5.300000E-9	1.404615E-4
5.350000E-9	1.233320E-4
5.400000E-9	1.096285E-4
5.450000E-9	7.536958E-5
5.500000E-9	4.111068E-5
5.550000E-9	0.000000E+0
5.600000E-9	-5.481424E-5
5.650000E-9	-1.096285E-4
5.700000E-9	-1.438874E-4
5.750000E-9	-1.712945E-4
5.800000E-9	-1.884240E-4
5.850000E-9	-2.055534E-4
5.900000E-9	-2.295346E-4
5.950000E-9	-2.329605E-4
6.000000E-9	-1.815722E-4
6.050000E-9	-1.062026E-4
6.100000E-9	-5.824013E-5
6.150000E-9	3.425890E-6
6.200000E-9	8.564725E-5
6.250000E-9	1.438874E-4
6.300000E-9	1.781463E-4
6.350000E-9	2.261087E-4
6.400000E-9	2.774971E-4
6.450000E-9	3.083301E-4
6.500000E-9	3.357372E-4
6.550000E-9	3.905515E-4
6.600000E-9	4.727728E-4
6.650000E-9	5.515683E-4
6.700000E-9	6.235120E-4
6.750000E-9	7.057334E-4
6.800000E-9	7.845288E-4
6.850000E-9	8.256395E-4
6.900000E-9	8.461949E-4
6.950000E-9	8.530466E-4
7.000000E-9	8.085101E-4
7.050000E-9	7.091593E-4
7.100000E-9	6.029567E-4
7.150000E-9	4.864764E-4
7.200000E-9	3.357372E-4
7.250000E-9	1.884240E-4
7.300000E-9	1.096285E-4
7.350000E-9	5.824013E-5
7.400000E-9	6.851780E-6
7.450000E-9	-1.027767E-5
7.500000E-9	0.000000E+0
7.550000E-9	-3.425890E-6
7.600000E-9	1.370356E-5
7.650000E-9	5.138835E-5
7.700000E-9	6.509191E-5
7.750000E-9	6.509191E-5
7.800000E-9	6.851780E-5
7.850000E-9	4.453657E-5
7.900000E-9	2.740712E-5
7.950000E-9	5.138835E-5
8.000000E-9	9.592492E-5
8.050000E-9	1.164803E-4
8.100000E-9	1.370356E-4
8.150000E-9	1.438874E-4
8.200000E-9	9.592492E-5
8.250000E-9	-4.796246E-5
8.300000E-9	-3.254596E-4
8.350000E-9	-8.256395E-4
8.400000E-9	-1.603317E-3
8.450000E-9	-2.709879E-3
8.500000E-9	-4.206993E-3
8.550000E-9	-6.152899E-3
8.600000E-9	-8.571577E-3
8.650000E-9	-1.149386E-2
8.700000E-9	-1.490262E-2
8.750000E-9	-1.872934E-2
8.800000E-9	-2.286096E-2
8.850000E-9	-2.719472E-2
8.900000E-9	-3.162439E-2
8.950000E-9	-3.599925E-2
9.000000E-9	-4.016514E-2
9.050000E-9	-4.402611E-2
9.100000E-9	-4.753080E-2
9.150000E-9	-5.064151E-2
9.200000E-9	-5.338222E-2
9.250000E-9	-5.579747E-2
9.300000E-9	-5.795236E-2
9.350000E-9	-5.993937E-2
9.400000E-9	-6.187843E-2
9.450000E-9	-6.387572E-2
9.500000E-9	-6.599292E-2
9.550000E-9	-6.828827E-2
9.600000E-9	-7.074806E-2
9.650000E-9	-7.332433E-2
9.700000E-9	-7.594856E-2
9.750000E-9	-7.850770E-2
9.800000E-9	-8.083730E-2
9.850000E-9	-8.282089E-2
9.900000E-9	-8.438652E-2
9.950000E-9	-8.540744E-2
