File Name, Peak Frequency (Hz), Frequency Error, Thermal Diffusivity (m2/s), Thermal Error, Tau\n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-06-06.40um-5.581e-8C40degspot04-POS-1.txt,5.49E+08,3.57E+03,3.96E-05,8.59E-07,1.96E-08,1.99E-08,2.44E-08,,,,4.16944E-05,2.65384E-06,4.13E-05,4.17E-01,0.026538437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-06-06.40um-5.581e-8C40degspot05-POS-1.txt,5.49E+08,3.51E+03,3.79E-05,8.98E-07,1.99E-08,1.99E-08,2.49E-08,,,,4.16944E-05,2.65384E-06,3.22E-04,4.17E-01,0.026538437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-06-06.40um-7.15e-9C15degspot01-POS-1.txt,5.50E+08,3.38E+03,3.73E-05,7.87E-07,1.98E-08,1.99E-08,2.44E-08,,,,4.32455E-05,3.50356E-06,3.20E-03,4.32E-01,0.035035647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-06-06.40um-7.15e-9C15degspot02-POS-1.txt,5.49E+08,3.34E+03,4.26E-05,7.77E-07,1.98E-08,1.99E-08,2.37E-08,,,,2.95119E-05,1.88917E-06,3.17E-02,2.95E-01,0.018891688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-06-06.40um-7.15e-9C15degspot03-POS-1.txt,5.50E+08,3.16E+03,3.98E-05,7.55E-07,2.03E-08,1.99E-08,2.50E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-06-06.40um-7.15e-9C15degspot04-POS-1.txt,5.49E+08,3.87E+03,3.81E-05,8.56E-07,1.84E-08,1.99E-08,2.25E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-06-06.40um-7.15e-9C15degspot05-POS-1.txt,5.50E+08,3.70E+03,3.52E-05,8.46E-07,1.86E-08,1.99E-08,2.26E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-06-06.40um-7.15e-9C40degspot01-POS-1.txt,5.48E+08,3.80E+03,3.38E-05,9.02E-07,1.91E-08,2.00E-08,2.34E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-06-06.40um-7.15e-9C40degspot02-POS-1.txt,5.48E+08,3.60E+03,3.36E-05,8.82E-07,1.93E-08,2.00E-08,2.38E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-06-06.40um-7.15e-9C40degspot03-POS-1.txt,5.48E+08,3.59E+03,3.11E-05,9.11E-07,1.98E-08,2.00E-08,2.45E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
