File Name, Peak Frequency (Hz), Frequency Error, Thermal Diffusivity (m2/s), Thermal Error, Tau\n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-18-06.40um-5.4809C40degSpot08-POS-1.txt,5.48E+08,1.08E+04,2.77E-05,6.94E-04,2.05E-08,1.99E-08,2.52E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-18-06.40um-5.4809C40degSpot09-POS-1.txt,5.49E+08,9.84E+03,2.16E-05,1.36E-04,2.09E-08,1.99E-08,2.61E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-18-06.40um-5.4809C40degSpot10-POS-1.txt,5.51E+08,1.74E+04,2.46E-05,1.28E-02,1.36E-08,1.99E-08,2.34E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-18-06.40um-5.4809C40degSpot11-POS-1.txt,5.50E+08,1.53E+04,1.71E-05,7.25E-05,2.04E-08,1.99E-08,2.48E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-18-06.40um-5.4809C40degSpot12-POS-1.txt,5.50E+08,1.34E+04,2.24E-05,2.44E-02,2.00E-08,1.99E-08,2.46E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-18-06.40um-5.4809C40degSpot13-POS-1.txt,5.50E+08,2.58E+04,1.91E-05,4.32E-04,1.14E-08,1.99E-08,2.31E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-18-06.40um-5.4809C40degSpot14-POS-1.txt,5.49E+08,1.28E+04,2.70E-05,1.12E-04,2.11E-08,1.99E-08,2.64E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-18-06.40um-5.4809C40degSpot15-POS-1.txt,5.48E+08,1.35E+04,2.85E-05,1.06E-04,2.08E-08,2.00E-08,2.63E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-18-06.40um-5.4809C40degSpot16-POS-1.txt,5.48E+08,1.38E+04,2.00E-05,2.90E-04,1.99E-08,2.00E-08,2.44E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-18-06.40um-5.4809C40degSpot17-POS-1.txt,5.48E+08,1.23E+04,2.03E-05,5.45E-05,2.07E-08,2.00E-08,2.54E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-18-06.40um-5.4809C40degSpot18-POS-1.txt,5.49E+08,1.05E+04,1.96E-05,4.93E-03,2.09E-08,1.99E-08,2.57E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-18-06.40um-5.4809C40degSpot19-POS-1.txt,5.49E+08,1.02E+04,1.82E-05,4.74E-04,2.07E-08,1.99E-08,2.56E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-18-06.40um-5.4809C40degSpot20-POS-1.txt,5.48E+08,1.46E+04,2.18E-09,NaN,1.99E-08,2.00E-08,2.48E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-18-06.40um-5.4809C40degSpot21-POS-1.txt,5.47E+08,1.57E+04,2.50E-05,1.78E-04,2.06E-08,2.00E-08,2.60E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-18-06.40um-5.4809C40degSpot22-POS-1.txt,5.48E+08,1.47E+04,2.11E-05,1.99E-03,2.03E-08,2.00E-08,2.50E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-18-06.40um-5.4809C40degSpot23-POS-1.txt,5.48E+08,1.45E+04,2.08E-05,5.90E-04,2.00E-08,1.99E-08,2.47E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-18-06.40um-5.4809C40degSpot24-POS-1.txt,5.48E+08,1.38E+04,1.90E-05,1.69E-04,2.00E-08,2.00E-08,2.49E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-18-06.40um-5.4809C40degSpot25-POS-1.txt,5.49E+08,1.21E+04,2.18E-05,3.20E-04,2.05E-08,1.99E-08,2.47E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
