Study Name	V_single_crystal
Sample Name	2019-08-22
Run Name	5.0997452e-4C45degSpot05
Operator	Angus Wylie
Date	8/22/2019
Time	02:06
Sign	FIX
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	02:07:56
	
Time	Amplitude
9.100000E-9	2.977964E-2
9.150000E-9	3.083824E-2
9.200000E-9	3.179235E-2
9.250000E-9	3.267966E-2
9.300000E-9	3.355327E-2
9.350000E-9	3.447141E-2
9.400000E-9	3.547006E-2
9.450000E-9	3.655435E-2
9.500000E-9	3.772944E-2
9.550000E-9	3.901244E-2
9.600000E-9	4.036396E-2
9.650000E-9	4.173260E-2
9.700000E-9	4.309782E-2
9.750000E-9	4.440994E-2
9.800000E-9	4.558331E-2
9.850000E-9	4.653400E-2
9.900000E-9	4.720205E-2
9.950000E-9	4.754807E-2
1.000000E-8	4.755321E-2
1.005000E-8	4.719863E-2
1.010000E-8	4.648775E-2
1.015000E-8	4.544285E-2
1.020000E-8	4.412217E-2
1.025000E-8	4.259422E-2
1.030000E-8	4.091039E-2
1.035000E-8	3.911693E-2
1.040000E-8	3.727379E-2
1.045000E-8	3.544094E-2
1.050000E-8	3.366803E-2
1.055000E-8	3.200990E-2
1.060000E-8	3.048366E-2
1.065000E-8	2.910645E-2
1.070000E-8	2.790396E-2
1.075000E-8	2.688989E-2
1.080000E-8	2.605054E-2
1.085000E-8	2.537564E-2
1.090000E-8	2.486347E-2
1.095000E-8	2.449519E-2
1.100000E-8	2.424852E-2
1.105000E-8	2.411148E-2
1.110000E-8	2.407209E-2
1.115000E-8	2.410635E-2
1.120000E-8	2.418343E-2
1.125000E-8	2.429477E-2
1.130000E-8	2.445065E-2
1.135000E-8	2.464935E-2
1.140000E-8	2.486690E-2
1.145000E-8	2.511356E-2
1.150000E-8	2.542360E-2
1.155000E-8	2.580217E-2
1.160000E-8	2.625610E-2
1.165000E-8	2.682651E-2
1.170000E-8	2.752197E-2
1.175000E-8	2.832706E-2
1.180000E-8	2.924348E-2
1.185000E-8	3.026269E-2
1.190000E-8	3.134527E-2
1.195000E-8	3.247068E-2
1.200000E-8	3.361322E-2
1.205000E-8	3.473349E-2
1.210000E-8	3.580408E-2
1.215000E-8	3.679931E-2
1.220000E-8	3.770032E-2
1.225000E-8	3.845230E-2
1.230000E-8	3.902100E-2
1.235000E-8	3.942012E-2
1.240000E-8	3.964794E-2
1.245000E-8	3.970790E-2
1.250000E-8	3.960854E-2
1.255000E-8	3.936531E-2
1.260000E-8	3.897989E-2
1.265000E-8	3.845744E-2
1.270000E-8	3.781166E-2
1.275000E-8	3.704597E-2
1.280000E-8	3.616380E-2
1.285000E-8	3.519941E-2
1.290000E-8	3.419048E-2
1.295000E-8	3.315929E-2
1.300000E-8	3.211781E-2
1.305000E-8	3.109861E-2
1.310000E-8	3.009311E-2
1.315000E-8	2.910131E-2
1.320000E-8	2.813692E-2
1.325000E-8	2.721364E-2
1.330000E-8	2.634175E-2
1.335000E-8	2.554351E-2
1.340000E-8	2.482407E-2
1.345000E-8	2.417315E-2
1.350000E-8	2.359931E-2
1.355000E-8	2.311284E-2
1.360000E-8	2.272913E-2
1.365000E-8	2.244650E-2
1.370000E-8	2.224608E-2
1.375000E-8	2.213988E-2
1.380000E-8	2.214159E-2
1.385000E-8	2.224266E-2
1.390000E-8	2.244650E-2
1.395000E-8	2.275825E-2
1.400000E-8	2.316251E-2
1.405000E-8	2.366269E-2
1.410000E-8	2.426394E-2
1.415000E-8	2.495083E-2
1.420000E-8	2.571481E-2
1.425000E-8	2.655415E-2
1.430000E-8	2.747058E-2
1.435000E-8	2.844525E-2
1.440000E-8	2.943705E-2
1.445000E-8	3.039972E-2
1.450000E-8	3.132986E-2
1.455000E-8	3.223087E-2
1.460000E-8	3.307535E-2
1.465000E-8	3.382734E-2
1.470000E-8	3.448340E-2
1.475000E-8	3.503839E-2
1.480000E-8	3.549061E-2
1.485000E-8	3.582806E-2
1.490000E-8	3.604732E-2
1.495000E-8	3.615524E-2
1.500000E-8	3.617065E-2
1.505000E-8	3.609357E-2
1.510000E-8	3.591542E-2
1.515000E-8	3.563793E-2
1.520000E-8	3.526108E-2
1.525000E-8	3.478659E-2
1.530000E-8	3.422132E-2
1.535000E-8	3.358067E-2
1.540000E-8	3.286123E-2
1.545000E-8	3.205786E-2
