Study Name	CuCrZrCCFE2MeV13uA0.025dpaV_single_crystal
Sample Name	2019-08-21
Run Name	4.99019E-6C45degSpot02
Operator	Angus Wylie
Date	8/21/2019
Time	17:30
Sign	FIX
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	17:32:01
	
Time	Amplitude
8.950000E-9	3.600450E-2
9.000000E-9	3.859276E-2
9.050000E-9	4.065002E-2
9.100000E-9	4.218996E-2
9.150000E-9	4.324000E-2
9.200000E-9	4.388235E-2
9.250000E-9	4.424379E-2
9.300000E-9	4.445791E-2
9.350000E-9	4.464119E-2
9.400000E-9	4.489985E-2
9.450000E-9	4.530068E-2
9.500000E-9	4.589850E-2
9.550000E-9	4.671729E-2
9.600000E-9	4.770566E-2
9.650000E-9	4.876940E-2
9.700000E-9	4.983486E-2
9.750000E-9	5.081466E-2
9.800000E-9	5.161290E-2
9.850000E-9	5.215248E-2
9.900000E-9	5.235974E-2
9.950000E-9	5.219530E-2
1.000000E-8	5.166771E-2
1.005000E-8	5.079753E-2
1.010000E-8	4.962245E-2
1.015000E-8	4.819556E-2
1.020000E-8	4.655970E-2
1.025000E-8	4.477823E-2
1.030000E-8	4.292824E-2
1.035000E-8	4.107483E-2
1.040000E-8	3.927281E-2
1.045000E-8	3.758726E-2
1.050000E-8	3.606445E-2
1.055000E-8	3.468724E-2
1.060000E-8	3.346077E-2
1.065000E-8	3.240901E-2
1.070000E-8	3.153712E-2
1.075000E-8	3.080055E-2
1.080000E-8	3.018732E-2
1.085000E-8	2.969570E-2
1.090000E-8	2.928973E-2
1.095000E-8	2.893687E-2
1.100000E-8	2.864224E-2
1.105000E-8	2.840071E-2
1.110000E-8	2.819858E-2
1.115000E-8	2.805470E-2
1.120000E-8	2.797761E-2
1.125000E-8	2.795363E-2
1.130000E-8	2.799817E-2
1.135000E-8	2.811979E-2
1.140000E-8	2.831164E-2
1.145000E-8	2.859770E-2
1.150000E-8	2.899339E-2
1.155000E-8	2.947302E-2
1.160000E-8	3.004172E-2
1.165000E-8	3.071319E-2
1.170000E-8	3.143435E-2
1.175000E-8	3.217263E-2
1.180000E-8	3.296401E-2
1.185000E-8	3.379479E-2
1.190000E-8	3.459131E-2
1.195000E-8	3.534672E-2
1.200000E-8	3.609014E-2
1.205000E-8	3.680273E-2
1.210000E-8	3.744680E-2
1.215000E-8	3.801036E-2
1.220000E-8	3.849341E-2
1.225000E-8	3.887883E-2
1.230000E-8	3.916489E-2
1.235000E-8	3.935331E-2
1.240000E-8	3.942355E-2
1.245000E-8	3.936873E-2
1.250000E-8	3.921114E-2
1.255000E-8	3.894906E-2
1.260000E-8	3.856707E-2
1.265000E-8	3.807374E-2
1.270000E-8	3.747592E-2
1.275000E-8	3.678389E-2
1.280000E-8	3.602163E-2
1.285000E-8	3.522682E-2
1.290000E-8	3.441488E-2
1.295000E-8	3.355498E-2
1.300000E-8	3.266938E-2
1.305000E-8	3.177694E-2
1.310000E-8	3.088963E-2
1.315000E-8	3.001774E-2
1.320000E-8	2.917668E-2
1.325000E-8	2.836474E-2
1.330000E-8	2.758192E-2
1.335000E-8	2.685049E-2
1.340000E-8	2.617559E-2
1.345000E-8	2.555379E-2
1.350000E-8	2.499023E-2
1.355000E-8	2.450032E-2
1.360000E-8	2.408579E-2
1.365000E-8	2.376376E-2
1.370000E-8	2.355478E-2
1.375000E-8	2.344515E-2
1.380000E-8	2.342630E-2
1.385000E-8	2.351709E-2
1.390000E-8	2.372778E-2
1.395000E-8	2.404468E-2
1.400000E-8	2.447806E-2
1.405000E-8	2.501078E-2
1.410000E-8	2.561717E-2
1.415000E-8	2.631263E-2
1.420000E-8	2.709887E-2
1.425000E-8	2.791766E-2
1.430000E-8	2.875701E-2
1.435000E-8	2.962033E-2
1.440000E-8	3.048537E-2
1.445000E-8	3.133842E-2
1.450000E-8	3.216064E-2
1.455000E-8	3.291947E-2
1.460000E-8	3.361493E-2
1.465000E-8	3.424016E-2
1.470000E-8	3.477117E-2
1.475000E-8	3.519427E-2
1.480000E-8	3.553172E-2
1.485000E-8	3.578181E-2
1.490000E-8	3.591885E-2
1.495000E-8	3.593427E-2
1.500000E-8	3.582292E-2
1.505000E-8	3.561052E-2
1.510000E-8	3.532103E-2
1.515000E-8	3.495103E-2
1.520000E-8	3.449539E-2
1.525000E-8	3.395923E-2
1.530000E-8	3.336484E-2
1.535000E-8	3.272077E-2
1.540000E-8	3.202874E-2
1.545000E-8	3.128532E-2
1.550000E-8	3.049051E-2
1.555000E-8	2.965288E-2
1.560000E-8	2.879469E-2
1.565000E-8	2.792109E-2
1.570000E-8	2.702864E-2
1.575000E-8	2.614647E-2
1.580000E-8	2.531226E-2
1.585000E-8	2.450375E-2
1.590000E-8	2.374491E-2
1.595000E-8	2.307515E-2
1.600000E-8	2.249446E-2
1.605000E-8	2.199599E-2
1.610000E-8	2.160715E-2
1.615000E-8	2.132109E-2
1.620000E-8	2.114466E-2
1.625000E-8	2.108984E-2
1.630000E-8	2.113609E-2
1.635000E-8	2.127827E-2
1.640000E-8	2.154206E-2
1.645000E-8	2.190521E-2
1.650000E-8	2.234543E-2
1.655000E-8	2.287645E-2
1.660000E-8	2.347769E-2
1.665000E-8	2.413204E-2
1.670000E-8	2.484291E-2
1.675000E-8	2.561203E-2
1.680000E-8	2.641712E-2
1.685000E-8	2.724276E-2
1.690000E-8	2.807696E-2
1.695000E-8	2.891288E-2
1.700000E-8	2.974538E-2
1.705000E-8	3.055903E-2
1.710000E-8	3.133671E-2
1.715000E-8	3.207670E-2
1.720000E-8	3.274818E-2
1.725000E-8	3.332373E-2
1.730000E-8	3.377938E-2
1.735000E-8	3.413224E-2
1.740000E-8	3.438919E-2
1.745000E-8	3.453821E-2
1.750000E-8	3.455363E-2
1.755000E-8	3.442173E-2
1.760000E-8	3.415622E-2
1.765000E-8	3.378109E-2
1.770000E-8	3.330660E-2
1.775000E-8	3.274304E-2
1.780000E-8	3.211610E-2
1.785000E-8	3.142236E-2
1.790000E-8	3.066866E-2
1.795000E-8	2.988584E-2
1.800000E-8	2.907390E-2
1.805000E-8	2.822428E-2
1.810000E-8	2.736266E-2
1.815000E-8	2.649249E-2
1.820000E-8	2.558976E-2
1.825000E-8	2.469217E-2
1.830000E-8	2.384084E-2
1.835000E-8	2.302034E-2
1.840000E-8	2.223580E-2
1.845000E-8	2.151808E-2
1.850000E-8	2.087915E-2
1.855000E-8	2.033443E-2
1.860000E-8	1.990791E-2
1.865000E-8	1.959101E-2
1.870000E-8	1.938203E-2
1.875000E-8	1.928953E-2
1.880000E-8	1.929296E-2
1.885000E-8	1.937004E-2
1.890000E-8	1.953962E-2
1.895000E-8	1.979999E-2
1.900000E-8	2.013744E-2
1.905000E-8	2.053998E-2
1.910000E-8	2.099905E-2
1.915000E-8	2.152322E-2
1.920000E-8	2.213645E-2
1.925000E-8	2.282335E-2
1.930000E-8	2.354964E-2
1.935000E-8	2.432389E-2
1.940000E-8	2.514953E-2
1.945000E-8	2.601286E-2
1.950000E-8	2.688646E-2
1.955000E-8	2.773609E-2
1.960000E-8	2.855316E-2
1.965000E-8	2.934283E-2
1.970000E-8	3.006913E-2
1.975000E-8	3.069606E-2
1.980000E-8	3.122879E-2
1.985000E-8	3.167073E-2
1.990000E-8	3.199791E-2
1.995000E-8	3.220004E-2
2.000000E-8	3.229253E-2
2.005000E-8	3.227027E-2
2.010000E-8	3.211610E-2
2.015000E-8	3.185916E-2
2.020000E-8	3.151486E-2
2.025000E-8	3.107120E-2
2.030000E-8	3.053505E-2
2.035000E-8	2.993552E-2
2.040000E-8	2.927946E-2
2.045000E-8	2.855659E-2
2.050000E-8	2.777891E-2
2.055000E-8	2.697382E-2
2.060000E-8	2.614476E-2
2.065000E-8	2.530199E-2
2.070000E-8	2.445921E-2
2.075000E-8	2.363528E-2
2.080000E-8	2.280622E-2
2.085000E-8	2.199599E-2
2.090000E-8	2.124915E-2
2.095000E-8	2.054341E-2
2.100000E-8	1.987022E-2
2.105000E-8	1.927240E-2
2.110000E-8	1.876537E-2
2.115000E-8	1.834056E-2
2.120000E-8	1.803051E-2
2.125000E-8	1.786093E-2
2.130000E-8	1.782667E-2
2.135000E-8	1.793116E-2
2.140000E-8	1.817783E-2
2.145000E-8	1.854782E-2
2.150000E-8	1.903773E-2
2.155000E-8	1.964240E-2
2.160000E-8	2.033614E-2
2.165000E-8	2.108813E-2
2.170000E-8	2.187437E-2
2.175000E-8	2.267775E-2
2.180000E-8	2.348797E-2
2.185000E-8	2.427764E-2
2.190000E-8	2.505189E-2
2.195000E-8	2.580388E-2
2.200000E-8	2.651989E-2
2.205000E-8	2.719822E-2
2.210000E-8	2.784400E-2
2.215000E-8	2.844525E-2
2.220000E-8	2.899682E-2
2.225000E-8	2.950043E-2
2.230000E-8	2.993552E-2
2.235000E-8	3.029010E-2
2.240000E-8	3.056245E-2
2.245000E-8	3.074231E-2
2.250000E-8	3.081255E-2
2.255000E-8	3.077486E-2
2.260000E-8	3.062070E-2
2.265000E-8	3.033292E-2
2.270000E-8	2.992352E-2
2.275000E-8	2.940621E-2
2.280000E-8	2.878784E-2
2.285000E-8	2.809923E-2
2.290000E-8	2.736266E-2
2.295000E-8	2.656100E-2
2.300000E-8	2.570624E-2
2.305000E-8	2.483778E-2
2.310000E-8	2.396931E-2
2.315000E-8	2.308885E-2
2.320000E-8	2.220326E-2
2.325000E-8	2.133308E-2
2.330000E-8	2.047660E-2
2.335000E-8	1.963726E-2
2.340000E-8	1.882875E-2
2.345000E-8	1.806135E-2
2.350000E-8	1.735047E-2
2.355000E-8	1.672182E-2
2.360000E-8	1.618224E-2
2.365000E-8	1.574030E-2
2.370000E-8	1.541312E-2
2.375000E-8	1.522470E-2
2.380000E-8	1.517845E-2
2.385000E-8	1.526924E-2
2.390000E-8	1.548164E-2
2.395000E-8	1.580196E-2
2.400000E-8	1.622335E-2
2.405000E-8	1.675265E-2
2.410000E-8	1.736931E-2
2.415000E-8	1.804079E-2
2.420000E-8	1.873796E-2
2.425000E-8	1.946083E-2
2.430000E-8	2.021795E-2
2.435000E-8	2.099734E-2
2.440000E-8	2.177673E-2
2.445000E-8	2.254927E-2
2.450000E-8	2.331325E-2
2.455000E-8	2.407209E-2
2.460000E-8	2.481893E-2
2.465000E-8	2.554351E-2
2.470000E-8	2.623726E-2
2.475000E-8	2.687447E-2
2.480000E-8	2.744660E-2
2.485000E-8	2.794335E-2
2.490000E-8	2.835789E-2
2.495000E-8	2.867478E-2
2.500000E-8	2.887862E-2
2.505000E-8	2.895228E-2
2.510000E-8	2.888548E-2
2.515000E-8	2.870219E-2
2.520000E-8	2.840071E-2
2.525000E-8	2.797761E-2
2.530000E-8	2.745516E-2
2.535000E-8	2.685734E-2
2.540000E-8	2.617730E-2
2.545000E-8	2.542703E-2
2.550000E-8	2.464421E-2
2.555000E-8	2.383227E-2
2.560000E-8	2.299464E-2
2.565000E-8	2.215016E-2
2.570000E-8	2.132623E-2
2.575000E-8	2.052114E-2
2.580000E-8	1.973318E-2
2.585000E-8	1.897777E-2
2.590000E-8	1.826519E-2
2.595000E-8	1.758857E-2
2.600000E-8	1.695649E-2
2.605000E-8	1.640492E-2
2.610000E-8	1.594071E-2
2.615000E-8	1.555873E-2
2.620000E-8	1.525382E-2
2.625000E-8	1.503799E-2
2.630000E-8	1.493007E-2
2.635000E-8	1.494035E-2
2.640000E-8	1.504484E-2
2.645000E-8	1.522813E-2
2.650000E-8	1.550734E-2
2.655000E-8	1.587562E-2
2.660000E-8	1.631071E-2
2.665000E-8	1.681089E-2
2.670000E-8	1.736760E-2
2.675000E-8	1.796199E-2
2.680000E-8	1.858722E-2
2.685000E-8	1.924842E-2
2.690000E-8	1.994902E-2
2.695000E-8	2.066846E-2
2.700000E-8	2.139475E-2
2.705000E-8	2.212618E-2
2.710000E-8	2.285932E-2
2.715000E-8	2.357533E-2
2.720000E-8	2.425709E-2
2.725000E-8	2.488574E-2
2.730000E-8	2.544930E-2
2.735000E-8	2.594263E-2
2.740000E-8	2.634175E-2
2.745000E-8	2.663295E-2
2.750000E-8	2.684021E-2
2.755000E-8	2.695669E-2
2.760000E-8	2.696869E-2
2.765000E-8	2.688475E-2
2.770000E-8	2.671859E-2
2.775000E-8	2.645994E-2
2.780000E-8	2.611392E-2
2.785000E-8	2.569596E-2
2.790000E-8	2.520777E-2
2.795000E-8	2.464593E-2
2.800000E-8	2.401385E-2
2.805000E-8	2.332010E-2
2.810000E-8	2.257668E-2
2.815000E-8	2.176988E-2
2.820000E-8	2.091169E-2
2.825000E-8	2.003809E-2
2.830000E-8	1.914050E-2
2.835000E-8	1.822750E-2
2.840000E-8	1.735561E-2
2.845000E-8	1.654367E-2
2.850000E-8	1.578483E-2
2.855000E-8	1.510822E-2
2.860000E-8	1.454295E-2
2.865000E-8	1.409929E-2
2.870000E-8	1.377383E-2
2.875000E-8	1.355457E-2
2.880000E-8	1.346207E-2
2.885000E-8	1.351518E-2
2.890000E-8	1.368133E-2
2.895000E-8	1.392457E-2
2.900000E-8	1.426545E-2
2.905000E-8	1.469540E-2
2.910000E-8	1.518873E-2
2.915000E-8	1.573516E-2
2.920000E-8	1.633640E-2
2.925000E-8	1.698390E-2
2.930000E-8	1.769820E-2
2.935000E-8	1.845532E-2
2.940000E-8	1.921073E-2
2.945000E-8	1.998156E-2
2.950000E-8	2.078665E-2
2.955000E-8	2.158146E-2
2.960000E-8	2.234029E-2
2.965000E-8	2.307686E-2
2.970000E-8	2.377232E-2
2.975000E-8	2.440269E-2
2.980000E-8	2.496967E-2
2.985000E-8	2.545444E-2
2.990000E-8	2.583300E-2
2.995000E-8	2.611050E-2
3.000000E-8	2.629892E-2
3.005000E-8	2.637600E-2
3.010000E-8	2.634175E-2
3.015000E-8	2.620300E-2
3.020000E-8	2.595633E-2
3.025000E-8	2.560346E-2
3.030000E-8	2.515981E-2
3.035000E-8	2.463222E-2
3.040000E-8	2.401727E-2
3.045000E-8	2.333723E-2
3.050000E-8	2.260923E-2
3.055000E-8	2.183840E-2
3.060000E-8	2.102817E-2
3.065000E-8	2.019568E-2
3.070000E-8	1.935462E-2
3.075000E-8	1.850157E-2
3.080000E-8	1.764167E-2
3.085000E-8	1.681432E-2
3.090000E-8	1.604006E-2
3.095000E-8	1.531377E-2
3.100000E-8	1.463202E-2
3.105000E-8	1.402735E-2
3.110000E-8	1.351689E-2
3.115000E-8	1.309550E-2
3.120000E-8	1.275976E-2
3.125000E-8	1.251824E-2
3.130000E-8	1.237435E-2
3.135000E-8	1.232810E-2
3.140000E-8	1.236750E-2
3.145000E-8	1.248227E-2
3.150000E-8	1.268611E-2
3.155000E-8	1.297731E-2
3.160000E-8	1.332846E-2
3.165000E-8	1.373615E-2
3.170000E-8	1.422434E-2
3.175000E-8	1.478276E-2
3.180000E-8	1.537887E-2
3.185000E-8	1.602465E-2
3.190000E-8	1.672696E-2
3.195000E-8	1.745154E-2
3.200000E-8	1.819324E-2
3.205000E-8	1.896750E-2
3.210000E-8	1.975374E-2
3.215000E-8	2.052285E-2
3.220000E-8	2.127313E-2
3.225000E-8	2.198058E-2
3.230000E-8	2.263150E-2
3.235000E-8	2.322760E-2
3.240000E-8	2.376889E-2
3.245000E-8	2.423653E-2
3.250000E-8	2.460995E-2
3.255000E-8	2.486347E-2
3.260000E-8	2.500222E-2
3.265000E-8	2.504847E-2
3.270000E-8	2.499708E-2
3.275000E-8	2.481722E-2
3.280000E-8	2.451232E-2
3.285000E-8	2.410806E-2
3.290000E-8	2.360103E-2
3.295000E-8	2.298779E-2
3.300000E-8	2.229576E-2
3.305000E-8	2.154891E-2
3.310000E-8	2.077808E-2
3.315000E-8	2.000040E-2
3.320000E-8	1.922444E-2
3.325000E-8	1.843819E-2
3.330000E-8	1.767593E-2
3.335000E-8	1.697362E-2
3.340000E-8	1.630557E-2
3.345000E-8	1.565636E-2
3.350000E-8	1.504998E-2
3.355000E-8	1.449156E-2
3.360000E-8	1.397939E-2
3.365000E-8	1.351860E-2
3.370000E-8	1.310921E-2
3.375000E-8	1.274777E-2
3.380000E-8	1.246342E-2
3.385000E-8	1.227500E-2
3.390000E-8	1.220306E-2
3.395000E-8	1.224074E-2
3.400000E-8	1.238463E-2
3.405000E-8	1.263815E-2
3.410000E-8	1.301328E-2
3.415000E-8	1.348777E-2
3.420000E-8	1.402564E-2
3.425000E-8	1.463031E-2
3.430000E-8	1.528808E-2
3.435000E-8	1.597326E-2
3.440000E-8	1.667214E-2
3.445000E-8	1.738302E-2
3.450000E-8	1.807676E-2
3.455000E-8	1.874139E-2
3.460000E-8	1.938888E-2
3.465000E-8	2.001753E-2
3.470000E-8	2.061022E-2
3.475000E-8	2.115493E-2
3.480000E-8	2.164998E-2
3.485000E-8	2.209877E-2
3.490000E-8	2.250131E-2
3.495000E-8	2.283020E-2
3.500000E-8	2.306316E-2
3.505000E-8	2.321561E-2
3.510000E-8	2.328927E-2
3.515000E-8	2.326186E-2
3.520000E-8	2.312311E-2
3.525000E-8	2.289529E-2
3.530000E-8	2.258011E-2
3.535000E-8	2.217928E-2
3.540000E-8	2.170822E-2
3.545000E-8	2.116864E-2
3.550000E-8	2.058452E-2
3.555000E-8	1.998328E-2
3.560000E-8	1.933749E-2
3.565000E-8	1.865403E-2
3.570000E-8	1.796885E-2
3.575000E-8	1.728538E-2
3.580000E-8	1.659163E-2
3.585000E-8	1.591331E-2
3.590000E-8	1.524354E-2
3.595000E-8	1.457549E-2
3.600000E-8	1.393999E-2
3.605000E-8	1.334731E-2
3.610000E-8	1.280601E-2
3.615000E-8	1.232296E-2
3.620000E-8	1.191357E-2
3.625000E-8	1.158468E-2
3.630000E-8	1.135515E-2
3.635000E-8	1.123010E-2
3.640000E-8	1.120783E-2
3.645000E-8	1.127978E-2
3.650000E-8	1.145621E-2
3.655000E-8	1.171829E-2
3.660000E-8	1.204033E-2
3.665000E-8	1.242917E-2
3.670000E-8	1.289166E-2
3.675000E-8	1.340897E-2
3.680000E-8	1.396568E-2
3.685000E-8	1.455151E-2
3.690000E-8	1.517674E-2
3.695000E-8	1.582937E-2
3.700000E-8	1.648886E-2
3.705000E-8	1.716890E-2
3.710000E-8	1.786778E-2
3.715000E-8	1.855125E-2
3.720000E-8	1.920217E-2
3.725000E-8	1.983425E-2
3.730000E-8	2.041665E-2
3.735000E-8	2.092197E-2
3.740000E-8	2.136563E-2
3.745000E-8	2.173734E-2
3.750000E-8	2.201655E-2
3.755000E-8	2.220326E-2
3.760000E-8	2.229918E-2
3.765000E-8	2.231289E-2
3.770000E-8	2.224437E-2
3.775000E-8	2.208678E-2
3.780000E-8	2.185210E-2
3.785000E-8	2.155405E-2
3.790000E-8	2.117891E-2
3.795000E-8	2.072327E-2
3.800000E-8	2.020938E-2
3.805000E-8	1.964069E-2
3.810000E-8	1.900861E-2
3.815000E-8	1.833542E-2
3.820000E-8	1.763311E-2
3.825000E-8	1.691196E-2
3.830000E-8	1.617881E-2
3.835000E-8	1.543711E-2
3.840000E-8	1.472109E-2
3.845000E-8	1.405989E-2
3.850000E-8	1.344494E-2
3.855000E-8	1.288824E-2
3.860000E-8	1.239662E-2
3.865000E-8	1.196324E-2
3.870000E-8	1.161380E-2
3.875000E-8	1.136885E-2
3.880000E-8	1.118385E-2
3.885000E-8	1.105367E-2
3.890000E-8	1.100057E-2
3.895000E-8	1.101769E-2
3.900000E-8	1.108107E-2
3.905000E-8	1.120441E-2
3.910000E-8	1.141339E-2
3.915000E-8	1.168403E-2
3.920000E-8	1.199922E-2
3.925000E-8	1.238805E-2
3.930000E-8	1.285912E-2
3.935000E-8	1.337814E-2
3.940000E-8	1.393656E-2
3.945000E-8	1.454123E-2
3.950000E-8	1.516989E-2
3.955000E-8	1.581395E-2
3.960000E-8	1.647344E-2
3.965000E-8	1.710552E-2
3.970000E-8	1.768621E-2
3.975000E-8	1.823949E-2
3.980000E-8	1.875166E-2
3.985000E-8	1.919361E-2
3.990000E-8	1.957217E-2
3.995000E-8	1.987536E-2
4.000000E-8	2.010147E-2
4.005000E-8	2.028304E-2
4.010000E-8	2.040980E-2
4.015000E-8	2.045262E-2
4.020000E-8	2.041836E-2
4.025000E-8	2.032415E-2
4.030000E-8	2.015971E-2
4.035000E-8	1.990962E-2
4.040000E-8	1.956874E-2
4.045000E-8	1.916277E-2
4.050000E-8	1.871912E-2
4.055000E-8	1.822236E-2
4.060000E-8	1.767936E-2
4.065000E-8	1.710723E-2
4.070000E-8	1.650085E-2
4.075000E-8	1.587562E-2
4.080000E-8	1.527266E-2
4.085000E-8	1.468683E-2
4.090000E-8	1.410786E-2
4.095000E-8	1.355971E-2
4.100000E-8	1.305611E-2
4.105000E-8	1.259703E-2
4.110000E-8	1.217394E-2
4.115000E-8	1.178852E-2
4.120000E-8	1.143394E-2
4.125000E-8	1.110677E-2
4.130000E-8	1.081728E-2
4.135000E-8	1.058774E-2
4.140000E-8	1.042159E-2
4.145000E-8	1.032566E-2
4.150000E-8	1.031196E-2
4.155000E-8	1.038733E-2
4.160000E-8	1.055006E-2
4.165000E-8	1.079330E-2
4.170000E-8	1.113760E-2
4.175000E-8	1.157783E-2
4.180000E-8	1.208658E-2
4.185000E-8	1.264157E-2
4.190000E-8	1.324282E-2
4.195000E-8	1.387832E-2
4.200000E-8	1.451554E-2
4.205000E-8	1.515618E-2
