File Name, Peak Frequency (Hz), Frequency Error, Thermal Diffusivity (m2/s), Thermal Error, Tau\n,,
Analysis/Cr-single-crystal-2019-08-18-06.40um-5.4809C40degSpot17-POS-1.txt,5.48E+08,3.53E+03,4.12E-05,1.21E-06,2.02E-08,1.99E-08,2.64E-08
Analysis/Cr-single-crystal-2019-08-18-06.40um-5.4809C40degSpot18-POS-1.txt,5.49E+08,3.38E+03,3.40E-05,1.18E-06,2.03E-08,1.99E-08,2.65E-08
Analysis/Cr-single-crystal-2019-08-18-06.40um-5.4809C40degSpot19-POS-1.txt,5.49E+08,3.75E+03,4.07E-05,1.22E-06,2.01E-08,1.99E-08,2.72E-08
Analysis/Cr-single-crystal-2019-08-18-06.40um-5.4809C40degSpot20-POS-1.txt,5.48E+08,3.96E+03,4.44E-05,1.25E-06,1.93E-08,1.99E-08,2.56E-08
Analysis/Cr-single-crystal-2019-08-18-06.40um-5.4809C40degSpot21-POS-1.txt,5.48E+08,3.96E+03,4.61E-05,1.41E-06,2.01E-08,2.00E-08,2.68E-08
Analysis/Cr-single-crystal-2019-08-18-06.40um-5.4809C40degSpot22-POS-1.txt,5.48E+08,3.78E+03,4.62E-05,1.27E-06,1.97E-08,1.99E-08,2.59E-08
Analysis/Cr-single-crystal-2019-08-18-06.40um-5.4809C40degSpot23-POS-1.txt,5.49E+08,3.92E+03,3.95E-05,1.26E-06,1.96E-08,1.99E-08,2.55E-08
Analysis/Cr-single-crystal-2019-08-18-06.40um-5.4809C40degSpot24-POS-1.txt,5.49E+08,4.15E+03,3.90E-05,6.72E-07,1.95E-08,1.99E-08,2.56E-08
Analysis/Cr-single-crystal-2019-08-18-06.40um-5.4809C40degSpot25-POS-1.txt,5.49E+08,3.34E+03,3.91E-05,1.16E-06,2.00E-08,1.99E-08,2.55E-08
Analysis/Cr-single-crystal-2019-08-22-2019-08-22-06.40um-2ndLastIrrSpot01-POS-1.txt,5.48E+08,4.46E+03,2.94E-05,1.02E-06,1.92E-08,2.00E-08,2.58E-08
Analysis/Cr-single-crystal-2019-08-22-2019-08-22-06.40um-2ndLastIrrSpot01-POS-2.txt,5.48E+08,4.05E+03,3.15E-05,1.12E-06,1.95E-08,2.00E-08,2.53E-08
Analysis/Cr-single-crystal-2019-08-22-2019-08-22-06.40um-2ndLastIrrSpot01-POS-3.txt,5.48E+08,4.25E+03,2.94E-05,1.05E-06,1.99E-08,2.00E-08,2.61E-08
Analysis/Cr-single-crystal-2019-08-22-2019-08-22-06.40um-2ndLastIrrSpot02-POS-1.txt,5.48E+08,4.29E+03,2.93E-05,1.17E-06,1.97E-08,2.00E-08,2.64E-08
Analysis/Cr-single-crystal-2019-08-22-2019-08-22-06.40um-2ndLastIrrSpot03-POS-1.txt,5.47E+08,4.61E+03,2.90E-05,1.04E-06,1.87E-08,2.00E-08,2.43E-08
Analysis/Cr-single-crystal-2019-08-22-2019-08-22-06.40um-2ndLastIrrSpot04-POS-1.txt,5.48E+08,4.42E+03,2.77E-05,1.01E-06,1.90E-08,2.00E-08,2.49E-08
Analysis/Cr-single-crystal-2019-08-22-2019-08-22-06.40um-2ndLastIrrSpot05-POS-1.txt,5.48E+08,4.09E+03,2.81E-05,9.64E-07,1.96E-08,2.00E-08,2.60E-08
Analysis/Cr-single-crystal-2019-08-22-2019-08-22-06.40um-2ndLastIrrSpot06-POS-1.txt,5.49E+08,5.21E+03,2.75E-05,1.14E-06,1.82E-08,1.99E-08,2.42E-08
Analysis/Cr-single-crystal-2019-08-22-2019-08-22-06.40um-2ndLastIrrSpot07-POS-1.txt,5.50E+08,5.40E+03,3.37E-05,1.20E-06,1.86E-08,1.99E-08,2.52E-08
Analysis/Tungsten-Calibration-2019-08-22-2019-08-22-06.40um-2ndLastIrrSpot0spot01-POS-1.txt,4.15E+08,3.86E+03,7.11E-05,1.07E-06,2.18E-08,2.64E-08,2.92E-08
