Study Name	Tungsten_Calibration
Sample Name	2021-12-13
Run Name	spot0
Operator	Ben/Eleni
Date	12/13/2021
Time	14:15
Sign	FIX
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	14:16:06
	
Time	Amplitude
9.300000E-9	2.848807E-2
9.350000E-9	2.874501E-2
9.400000E-9	2.881525E-2
9.450000E-9	2.870390E-2
9.500000E-9	2.846238E-2
9.550000E-9	2.807354E-2
9.600000E-9	2.753910E-2
9.650000E-9	2.686420E-2
9.700000E-9	2.610022E-2
9.750000E-9	2.519407E-2
9.800000E-9	2.421940E-2
9.850000E-9	2.320362E-2
9.900000E-9	2.213303E-2
9.950000E-9	2.101961E-2
1.000000E-8	1.987536E-2
1.005000E-8	1.874139E-2
1.010000E-8	1.766737E-2
1.015000E-8	1.661733E-2
1.020000E-8	1.558613E-2
1.025000E-8	1.461660E-2
1.030000E-8	1.372587E-2
1.035000E-8	1.292078E-2
1.040000E-8	1.223218E-2
1.045000E-8	1.165834E-2
1.050000E-8	1.124723E-2
1.055000E-8	1.098172E-2
1.060000E-8	1.083270E-2
1.065000E-8	1.082756E-2
1.070000E-8	1.102626E-2
1.075000E-8	1.136542E-2
1.080000E-8	1.183306E-2
1.085000E-8	1.247713E-2
1.090000E-8	1.320513E-2
1.095000E-8	1.401022E-2
1.100000E-8	1.485984E-2
1.105000E-8	1.576599E-2
1.110000E-8	1.666700E-2
1.115000E-8	1.756288E-2
1.120000E-8	1.846389E-2
1.125000E-8	1.933235E-2
1.130000E-8	2.019397E-2
1.135000E-8	2.095280E-2
1.140000E-8	2.171678E-2
1.145000E-8	2.242252E-2
1.150000E-8	2.302034E-2
1.155000E-8	2.350510E-2
1.160000E-8	2.393676E-2
1.165000E-8	2.427935E-2
1.170000E-8	2.446607E-2
1.175000E-8	2.461338E-2
1.180000E-8	2.465620E-2
1.185000E-8	2.457398E-2
1.190000E-8	2.439412E-2
1.195000E-8	2.411148E-2
1.200000E-8	2.372607E-2
1.205000E-8	2.319848E-2
1.210000E-8	2.256298E-2
1.215000E-8	2.184868E-2
1.220000E-8	2.104188E-2
1.225000E-8	2.016485E-2
1.230000E-8	1.922101E-2
1.235000E-8	1.821037E-2
1.240000E-8	1.716376E-2
1.245000E-8	1.606576E-2
1.250000E-8	1.495577E-2
1.255000E-8	1.383721E-2
1.260000E-8	1.273407E-2
1.265000E-8	1.172343E-2
1.270000E-8	1.073163E-2
1.275000E-8	9.842611E-3
1.280000E-8	9.152292E-3
1.285000E-8	8.542482E-3
1.290000E-8	8.074846E-3
1.295000E-8	7.751099E-3
1.300000E-8	7.622628E-3
1.305000E-8	7.674016E-3
1.310000E-8	7.877857E-3
1.315000E-8	8.210169E-3
1.320000E-8	8.677805E-3
1.325000E-8	9.273911E-3
1.330000E-8	9.967656E-3
1.335000E-8	1.071279E-2
1.340000E-8	1.155727E-2
1.345000E-8	1.245486E-2
1.350000E-8	1.337643E-2
1.355000E-8	1.435452E-2
1.360000E-8	1.529836E-2
1.365000E-8	1.626446E-2
1.370000E-8	1.719117E-2
1.375000E-8	1.812815E-2
1.380000E-8	1.898634E-2
1.385000E-8	1.982568E-2
1.390000E-8	2.055540E-2
1.395000E-8	2.121831E-2
1.400000E-8	2.169623E-2
1.405000E-8	2.208678E-2
1.410000E-8	2.239853E-2
1.415000E-8	2.259039E-2
1.420000E-8	2.265205E-2
1.425000E-8	2.259724E-2
1.430000E-8	2.245164E-2
1.435000E-8	2.218442E-2
1.440000E-8	2.182641E-2
1.445000E-8	2.137590E-2
1.450000E-8	2.085688E-2
1.455000E-8	2.017684E-2
1.460000E-8	1.939402E-2
1.465000E-8	1.850500E-2
1.470000E-8	1.757315E-2
1.475000E-8	1.655566E-2
1.480000E-8	1.547822E-2
1.485000E-8	1.437165E-2
1.490000E-8	1.330277E-2
1.495000E-8	1.221505E-2
1.500000E-8	1.114445E-2
1.505000E-8	1.020062E-2
1.510000E-8	9.330439E-3
1.515000E-8	8.515075E-3
1.520000E-8	7.800774E-3
1.525000E-8	7.225223E-3
1.530000E-8	6.747310E-3
1.535000E-8	6.413285E-3
1.540000E-8	6.224860E-3
1.545000E-8	6.178611E-3
1.550000E-8	6.269397E-3
1.555000E-8	6.468099E-3
1.560000E-8	6.803837E-3
1.565000E-8	7.278325E-3
1.570000E-8	7.836746E-3
1.575000E-8	8.467112E-3
1.580000E-8	9.196829E-3
1.585000E-8	1.001904E-2
1.590000E-8	1.087552E-2
1.595000E-8	1.179195E-2
1.600000E-8	1.277518E-2
1.605000E-8	1.375670E-2
1.610000E-8	1.477248E-2
1.615000E-8	1.579169E-2
1.620000E-8	1.674237E-2
1.625000E-8	1.761427E-2
1.630000E-8	1.842449E-2
1.635000E-8	1.906513E-2
1.640000E-8	1.958930E-2
1.645000E-8	1.999013E-2
1.650000E-8	2.022823E-2
1.655000E-8	2.034985E-2
1.660000E-8	2.032073E-2
1.665000E-8	2.021452E-2
1.670000E-8	1.997471E-2
1.675000E-8	1.961670E-2
1.680000E-8	1.918847E-2
1.685000E-8	1.871055E-2
1.690000E-8	1.820352E-2
1.695000E-8	1.760056E-2
1.700000E-8	1.691024E-2
1.705000E-8	1.617367E-2
1.710000E-8	1.532405E-2
1.715000E-8	1.437850E-2
1.720000E-8	1.339870E-2
1.725000E-8	1.238120E-2
1.730000E-8	1.133459E-2
1.735000E-8	1.028455E-2
1.740000E-8	9.246504E-3
1.745000E-8	8.261558E-3
1.750000E-8	7.351982E-3
1.755000E-8	6.534904E-3
1.760000E-8	5.810326E-3
1.765000E-8	5.198803E-3
1.770000E-8	4.691770E-3
1.775000E-8	4.313208E-3
1.780000E-8	4.054553E-3
1.785000E-8	3.924368E-3
1.790000E-8	3.902100E-3
1.795000E-8	3.956915E-3
1.800000E-8	4.131635E-3
1.805000E-8	4.434828E-3
1.810000E-8	4.866491E-3
1.815000E-8	5.385515E-3
1.820000E-8	6.077547E-3
1.825000E-8	6.862078E-3
1.830000E-8	7.764802E-3
1.835000E-8	8.760026E-3
1.840000E-8	9.849463E-3
1.845000E-8	1.100570E-2
1.850000E-8	1.218079E-2
1.855000E-8	1.337985E-2
1.860000E-8	1.452068E-2
1.865000E-8	1.557414E-2
1.870000E-8	1.645974E-2
1.875000E-8	1.724427E-2
1.880000E-8	1.789519E-2
1.885000E-8	1.836111E-2
1.890000E-8	1.871055E-2
1.895000E-8	1.893152E-2
1.900000E-8	1.900689E-2
1.905000E-8	1.898120E-2
1.910000E-8	1.881333E-2
1.915000E-8	1.855639E-2
1.920000E-8	1.823093E-2
1.925000E-8	1.777700E-2
1.930000E-8	1.720316E-2
1.935000E-8	1.653511E-2
1.940000E-8	1.580196E-2
1.945000E-8	1.499174E-2
1.950000E-8	1.406332E-2
1.955000E-8	1.303726E-2
1.960000E-8	1.194440E-2
1.965000E-8	1.079844E-2
1.970000E-8	9.671316E-3
1.975000E-8	8.465399E-3
1.980000E-8	7.298880E-3
1.985000E-8	6.156342E-3
1.990000E-8	5.128572E-3
1.995000E-8	4.201866E-3
2.000000E-8	3.398493E-3
2.005000E-8	2.745859E-3
2.010000E-8	2.247390E-3
2.015000E-8	1.856838E-3
2.020000E-8	1.599895E-3
2.025000E-8	1.473137E-3
2.030000E-8	1.469711E-3
2.035000E-8	1.557071E-3
2.040000E-8	1.757487E-3
2.045000E-8	2.089799E-3
2.050000E-8	2.507759E-3
2.055000E-8	3.009653E-3
