grating_mod grating_value[um] SAW_freq[Hz] SAW_freq_error[Hz] A[Wm^-2] A_err[Wm^-2] alpha[m^2s^-1] alpha_err[m2s-1] beta[s^0.5] beta_err[s^0.5] B[Wm^-2] B_err[Wm^-2] theta theta_err tau[s] tau_err[s] C[Wm^-2] C_err[Wm^-2]
0.9 5.82327 4.5401795e+08 3582.7013 0.07749736 0.0016778609 1.8669374e-05 1.393984e-07 9.1717234e-07 1.2685771e-06 0.018193495 0.00011857769 1.2470319 0.0041668977 2.7940465e-08 2.1549717e-10 0.0014861124 2.5862148e-05
0.91 5.887973 4.5401795e+08 3582.7012 0.077495955 0.0016778294 1.9086447e-05 1.4251022e-07 9.1609764e-07 1.2686042e-06 0.018193485 0.00011857752 1.247032 0.0041668942 2.7940476e-08 2.1549708e-10 0.0014860991 2.586254e-05
0.92 5.952676 4.5401795e+08 3582.701 0.07749466 0.0016777995 1.9508133e-05 1.4565641e-07 9.1510715e-07 1.2686287e-06 0.018193476 0.00011857736 1.2470322 0.0041668905 2.7940486e-08 2.15497e-10 0.0014860869 2.5862914e-05
0.93 6.017379 4.5401795e+08 3582.7009 0.07749326 0.0016777692 1.9934416e-05 1.4883701e-07 9.1403613e-07 1.2686563e-06 0.018193466 0.00011857719 1.2470323 0.0041668871 2.7940496e-08 2.154969e-10 0.0014860737 2.5863289e-05
0.94 6.082082 4.5401795e+08 3582.7007 0.077491788 0.0016777387 2.0365298e-05 1.52052e-07 9.1291001e-07 1.2686862e-06 0.018193456 0.000118577 1.2470324 0.0041668835 2.7940508e-08 2.154968e-10 0.0014860599 2.5863664e-05
0.95 6.146785 4.5401793e+08 3582.6982 0.077490376 0.0016777122 2.080079e-05 1.5530164e-07 9.1183004e-07 1.2687169e-06 0.018193448 0.00011857705 1.2470352 0.0041668866 2.7940513e-08 2.1549704e-10 0.0014860467 2.5864071e-05
0.96 6.211488 4.5401793e+08 3582.6982 0.077489013 0.0016776837 2.124089e-05 1.5858539e-07 9.1078763e-07 1.2687444e-06 0.018193439 0.00011857687 1.2470352 0.0041668828 2.7940524e-08 2.1549693e-10 0.0014860339 2.5864418e-05
0.97 6.276191 4.5401793e+08 3582.6982 0.077487706 0.0016776561 2.1685601e-05 1.6190353e-07 9.0978805e-07 1.2687706e-06 0.018193429 0.0001185767 1.2470352 0.0041668792 2.7940534e-08 2.1549682e-10 0.0014860216 2.5864754e-05
0.98 6.340894 4.5401793e+08 3582.6982 0.077486457 0.0016776295 2.2134921e-05 1.6525604e-07 9.0883231e-07 1.2687955e-06 0.01819342 0.00011857653 1.2470352 0.0041668759 2.7940545e-08 2.1549672e-10 0.0014860099 2.5865077e-05
0.99 6.405597 4.5401794e+08 3582.6995 0.077485264 0.0016776024 2.2588851e-05 1.6864278e-07 9.0791916e-07 1.268818e-06 0.018193411 0.00011857625 1.2470338 0.0041668683 2.7940558e-08 2.1549645e-10 0.0014859987 2.5865365e-05
1 6.4703 4.5401794e+08 3582.6994 0.077483988 0.0016775764 2.3047378e-05 1.7206408e-07 9.0694332e-07 1.2688442e-06 0.018193402 0.00011857608 1.2470338 0.0041668648 2.7940569e-08 2.1549635e-10 0.0014859867 2.5865679e-05
1.01 6.535003 4.5401794e+08 3582.6994 0.077482499 0.0016775489 2.3510491e-05 1.755198e-07 9.0580466e-07 1.2688763e-06 0.018193391 0.00011857589 1.2470338 0.0041668607 2.794058e-08 2.1549624e-10 0.0014859728 2.5866009e-05
1.02 6.599706 4.5401794e+08 3582.6993 0.07748098 0.0016775214 2.3978204e-05 1.7900992e-07 9.0464252e-07 1.2689095e-06 0.01819338 0.00011857569 1.2470339 0.0041668563 2.7940592e-08 2.1549613e-10 0.0014859587 2.5866336e-05
1.03 6.664409 4.5401794e+08 3582.6992 0.077479496 0.0016774946 2.4450525e-05 1.8253442e-07 9.035074e-07 1.268942e-06 0.01819337 0.0001185755 1.2470339 0.0041668524 2.7940604e-08 2.1549601e-10 0.0014859449 2.5866655e-05
1.04 6.729112 4.5401794e+08 3582.6992 0.07747805 0.0016774686 2.4927452e-05 1.8609331e-07 9.0240057e-07 1.2689737e-06 0.018193359 0.00011857532 1.2470339 0.0041668478 2.7940615e-08 2.1549591e-10 0.0014859314 2.5866965e-05
1.05 6.793815 4.5401793e+08 3582.6991 0.077476641 0.0016774433 2.5408988e-05 1.8968659e-07 9.0132285e-07 1.2690045e-06 0.018193349 0.00011857514 1.247034 0.0041668443 2.7940626e-08 2.154958e-10 0.0014859183 2.5867266e-05
