grating_mod grating_value[um] SAW_freq[Hz] SAW_freq_error[Hz] A[Wm^-2] A_err[Wm^-2] alpha[m^2s^-1] alpha_err[m2s-1] beta[s^0.5] beta_err[s^0.5] B[Wm^-2] B_err[Wm^-2] theta theta_err tau[s] tau_err[s] C[Wm^-2] C_err[Wm^-2]
0.9 5.82327 4.5599719e+08 2897.9806 0.063533336 0.0015978155 1.9079314e-05 1.6127802e-07 4.1512809e-07 1.4776922e-06 0.014389701 0.00010180632 1.0135354 0.0045267399 3.0741508e-08 2.6152703e-10 0.0011240126 2.3395698e-05
0.91 5.887973 4.5599719e+08 2897.9806 0.063534031 0.0015978061 1.9505719e-05 1.6487798e-07 4.1578395e-07 1.4776529e-06 0.014389706 0.0001018064 1.0135355 0.0045267428 3.0741501e-08 2.615271e-10 0.0011240182 2.3395849e-05
0.92 5.952676 4.5599719e+08 2897.9807 0.063534702 0.0015977969 1.9936835e-05 1.6851771e-07 4.1641633e-07 1.4776149e-06 0.01438971 0.00010180648 1.0135357 0.0045267454 3.0741495e-08 2.6152717e-10 0.0011240237 2.3395995e-05
0.93 6.017379 4.5599718e+08 2897.9808 0.063535348 0.001597788 2.0372662e-05 1.7219722e-07 4.1702603e-07 1.4775783e-06 0.014389714 0.00010180656 1.0135359 0.0045267484 3.0741489e-08 2.6152723e-10 0.0011240289 2.3396137e-05
0.94 6.082082 4.5599718e+08 2897.9808 0.063535972 0.0015977794 2.0813201e-05 1.7591651e-07 4.1761375e-07 1.477543e-06 0.014389718 0.00010180664 1.013536 0.0045267496 3.0741483e-08 2.6152729e-10 0.001124034 2.3396275e-05
0.95 6.146785 4.5599718e+08 2897.9809 0.063536572 0.001597771 2.1258451e-05 1.7967558e-07 4.1818018e-07 1.4775089e-06 0.014389722 0.00010180671 1.0135362 0.0045267514 3.0741477e-08 2.6152735e-10 0.0011240388 2.3396409e-05
0.96 6.211488 4.5599714e+08 2897.9837 0.063537141 0.0015977674 2.1708411e-05 1.8347497e-07 4.1871846e-07 1.4774806e-06 0.014389727 0.00010180715 1.0135429 0.0045267697 3.0741441e-08 2.6152805e-10 0.0011240434 2.3396609e-05
0.97 6.276191 4.5599714e+08 2897.9835 0.063537699 0.0015977591 2.2163084e-05 1.8731357e-07 4.1924433e-07 1.4774485e-06 0.01438973 0.00010180719 1.0135426 0.004526771 3.0741438e-08 2.6152806e-10 0.0011240479 2.339673e-05
0.98 6.340894 4.5599714e+08 2897.9833 0.063538236 0.001597751 2.2622468e-05 1.9119194e-07 4.1975057e-07 1.4774175e-06 0.014389733 0.00010180722 1.0135422 0.0045267714 3.0741436e-08 2.6152807e-10 0.0011240522 2.3396848e-05
0.99 6.405597 4.5599715e+08 2897.9832 0.063538748 0.0015977431 2.3086563e-05 1.951101e-07 4.2023287e-07 1.4773878e-06 0.014389737 0.00010180726 1.0135419 0.0045267716 3.0741433e-08 2.6152807e-10 0.0011240564 2.3396963e-05
1 6.4703 4.5599715e+08 2897.9831 0.063539214 0.0015977351 2.3555365e-05 1.9906804e-07 4.2067197e-07 1.4773602e-06 0.014389739 0.00010180729 1.0135416 0.0045267731 3.074143e-08 2.6152808e-10 0.0011240601 2.3397078e-05
1.01 6.535003 4.5599715e+08 2897.9829 0.063539658 0.0015977272 2.4028879e-05 2.0306577e-07 4.2109063e-07 1.4773337e-06 0.014389742 0.00010180732 1.0135413 0.0045267727 3.0741428e-08 2.6152808e-10 0.0011240637 2.3397191e-05
1.02 6.599706 4.5599715e+08 2897.9828 0.063540081 0.0015977195 2.4507103e-05 2.0710327e-07 4.2148948e-07 1.4773083e-06 0.014389745 0.00010180735 1.0135411 0.0045267743 3.0741425e-08 2.6152809e-10 0.0011240671 2.3397301e-05
1.03 6.664409 4.5599715e+08 2897.9827 0.063540484 0.0015977119 2.4990038e-05 2.1118056e-07 4.2186943e-07 1.477284e-06 0.014389747 0.00010180738 1.0135408 0.0045267729 3.0741423e-08 2.615281e-10 0.0011240703 2.3397409e-05
