grating_mod grating_value[um] SAW_freq[Hz] SAW_freq_error[Hz] A[Wm^-2] A_err[Wm^-2] alpha[m^2s^-1] alpha_err[m2s-1] beta[s^0.5] beta_err[s^0.5] B[Wm^-2] B_err[Wm^-2] theta theta_err tau[s] tau_err[s] C[Wm^-2] C_err[Wm^-2]
0.9 5.79861 4.1253675e+08 4605.0164 0.017324108 0.0048961743 6.8063491e-05 3.4722764e-06 6.7479462e-06 8.6306918e-06 0.0019998428 4.7670047e-05 0.72577115 0.016571437 4.3918232e-08 1.4413107e-09 -0.00024576192 8.2439881e-06
0.91 5.863039 4.1253674e+08 4605.0221 0.01732632 0.0048966634 6.9587924e-05 3.5501241e-06 6.7531853e-06 8.628823e-06 0.0019998448 4.7670127e-05 0.72577152 0.016571448 4.3918205e-08 1.4413106e-09 -0.00024575605 8.2439296e-06
0.92 5.927468 4.1253675e+08 4605.0194 0.017327545 0.0048971999 7.1129648e-05 3.6290495e-06 6.7578263e-06 8.6276828e-06 0.0019998464 4.7670197e-05 0.72577193 0.016571458 4.3918192e-08 1.4413109e-09 -0.00024574824 8.2438644e-06
0.93 5.991897 4.1253675e+08 4605.0115 0.016657457 0.0048229594 7.2153122e-05 3.7117964e-06 5.5455005e-06 9.212519e-06 0.0019998247 4.7674263e-05 0.72592378 0.016573447 4.3894226e-08 1.4406133e-09 -0.00024615628 8.2525322e-06
0.94 6.056326 4.1253675e+08 4605.0002 0.015176737 0.0004323089 7.1628214e-05 1.67237e-06 2.6214725e-10 NaN 0.0020247346 5.0575406e-05 -1.2076651 0.016744575 4.414838e-08 1.4656359e-09 -0.0002480755 8.0608817e-06
0.95 6.120755 4.1253676e+08 4604.9865 0.015141602 0.00043215539 7.3142502e-05 1.7112877e-06 3.0525835e-10 NaN 0.0020249086 5.0582483e-05 -1.2076153 0.016745543 4.4141147e-08 1.4654469e-09 -0.00024808565 8.0614745e-06
0.96 6.185184 4.1253676e+08 4604.9714 0.015108316 0.0004319835 7.4669917e-05 1.7504172e-06 3.2867284e-10 NaN 0.002025082 5.0589985e-05 -1.2075644 0.016746658 4.4133861e-08 1.4652688e-09 -0.00024810152 8.0621672e-06
0.97 6.249613 4.1253677e+08 4604.9553 0.015078466 0.00043181438 7.6212848e-05 1.7896673e-06 3.3649768e-10 NaN 0.0020252466 5.0597409e-05 -1.2075155 0.016747815 4.4126904e-08 1.4651071e-09 -0.00024811943 8.0628829e-06
0.98 6.314042 4.1253677e+08 4604.9386 0.015190009 0.00042956241 7.7546603e-05 1.8011049e-06 2.9637885e-10 NaN 0.0020277137 5.0636042e-05 -1.2070721 0.016740833 4.4061335e-08 1.462016e-09 -0.00024869365 8.0653404e-06
0.99 6.378471 4.1253678e+08 4604.9227 0.015189577 0.00042954333 7.9135233e-05 1.8379918e-06 2.8967844e-10 NaN 0.0020277168 5.0635506e-05 -1.2070791 0.016740627 4.4062052e-08 1.462025e-09 -0.00024869695 8.0653727e-06
