grating_mod grating_value[um] SAW_freq[Hz] SAW_freq_error[Hz] A[Wm^-2] A_err[Wm^-2] alpha[m^2s^-1] alpha_err[m2s-1] beta[s^0.5] beta_err[s^0.5] B[Wm^-2] B_err[Wm^-2] theta theta_err tau[s] tau_err[s] C[Wm^-2] C_err[Wm^-2]
0.9 5.79861 4.1541137e+08 10020.004 0.029256045 0.0056055757 7.2498206e-05 3.1522372e-06 1.9888888e-05 3.2159619e-06 0.0024280284 6.0786888e-05 0.24081724 0.017481794 2.9969044e-08 1.0026289e-09 7.6959806e-05 8.1579586e-06
0.91 5.863039 4.1541301e+08 10010.043 0.029256577 0.0056056293 7.4118954e-05 3.2226584e-06 1.9889123e-05 3.2158737e-06 0.0024280232 6.078571e-05 0.24060536 0.017481431 2.9969699e-08 1.0026339e-09 7.696135e-05 8.1578937e-06
0.92 5.927468 4.1541125e+08 10020.763 0.029253758 0.0056055445 7.5756285e-05 3.2939451e-06 1.9887057e-05 3.2165482e-06 0.0024280263 6.0786931e-05 0.24083499 0.017481827 2.9969006e-08 1.0026292e-09 7.6961916e-05 8.1579625e-06
0.93 5.991897 4.1541125e+08 10020.729 0.029252536 0.0056055373 7.7412236e-05 3.3659782e-06 1.9886064e-05 3.2168675e-06 0.002428025 6.0786903e-05 0.24083518 0.017481828 2.9969015e-08 1.0026296e-09 7.6963172e-05 8.1579609e-06
0.94 6.056326 4.1541127e+08 10020.615 0.022743842 0.0059687124 7.5766403e-05 3.7657973e-06 1.3725154e-05 6.3063347e-06 0.0023900836 6.0645785e-05 -0.37384274 0.017509343 3.1297006e-08 1.0479575e-09 7.5951868e-05 8.2327675e-06
0.95 6.120755 4.1541131e+08 10020.401 0.022743694 0.0059686549 7.7386847e-05 3.8463009e-06 1.3725058e-05 6.3063536e-06 0.0023900833 6.064577e-05 -0.37384751 0.017509343 3.1297008e-08 1.0479575e-09 7.5951605e-05 8.2327724e-06
0.96 6.185184 4.1541136e+08 10020.056 0.022743512 0.0059685907 7.9024391e-05 3.9276548e-06 1.3724941e-05 6.3063816e-06 0.0023900827 6.0645747e-05 -0.37385511 0.017509342 3.129701e-08 1.0479575e-09 7.5951289e-05 8.2327772e-06
0.97 6.249613 4.1541146e+08 10019.478 0.022743307 0.0059685193 8.0679029e-05 4.0098578e-06 1.372482e-05 6.306411e-06 0.0023900818 6.0645709e-05 -0.37386781 0.01750934 3.1297015e-08 1.0479575e-09 7.5950914e-05 8.2327815e-06
0.98 6.314042 4.1541169e+08 10018.046 0.022743168 0.0059684402 8.2350771e-05 4.0929043e-06 1.3724823e-05 6.3063823e-06 0.0023900797 6.0645619e-05 -0.37389911 0.017509338 3.1297024e-08 1.0479574e-09 7.5950462e-05 8.2327818e-06
0.99 6.378471 4.1541196e+08 10016.412 0.022742987 0.005968352 8.403959e-05 4.1767999e-06 1.3724798e-05 6.3063652e-06 0.0023900773 6.0645516e-05 -0.37393482 0.017509336 3.1297035e-08 1.0479573e-09 7.5949945e-05 8.2327818e-06
1 6.4429 4.1541223e+08 10014.8 0.022742717 0.0059682536 8.574547e-05 4.2615466e-06 1.3724689e-05 6.3063865e-06 0.0023900749 6.0645414e-05 -0.37397006 0.017509333 3.1297046e-08 1.0479573e-09 7.5949365e-05 8.232783e-06
1.01 6.507329 4.1541248e+08 10013.254 0.022742343 0.005968144 8.7468398e-05 4.347145e-06 1.3724473e-05 6.306455e-06 0.0023900726 6.0645316e-05 -0.37400387 0.017509331 3.1297057e-08 1.0479572e-09 7.5948718e-05 8.2327858e-06
1.02 6.571758 4.1541272e+08 10011.803 0.022741848 0.0059680218 8.9208359e-05 4.4335953e-06 1.3724134e-05 6.3065791e-06 0.0023900704 6.0645222e-05 -0.37403561 0.017509328 3.1297068e-08 1.0479571e-09 7.5948e-05 8.2327904e-06
1.03 6.636187 4.1541294e+08 10010.47 0.022741218 0.0059678857 9.0965338e-05 4.5208981e-06 1.3723654e-05 6.3067664e-06 0.0023900684 6.0645135e-05 -0.37406478 0.017509326 3.1297078e-08 1.0479571e-09 7.5947206e-05 8.232797e-06
1.04 6.700616 4.1541313e+08 10009.322 0.022740426 0.0059677342 9.2739315e-05 4.6090541e-06 1.3723004e-05 6.30703e-06 0.0023900666 6.0645058e-05 -0.3740899 0.017509323 3.1297087e-08 1.047957e-09 7.5946332e-05 8.2328063e-06
1.05 6.765045 4.1541101e+08 10022.167 0.022737308 0.0059675595 9.4529859e-05 4.6982077e-06 1.3719163e-05 6.308765e-06 0.0023900847 6.0645824e-05 -0.37381032 0.017509332 3.129701e-08 1.0479578e-09 7.5945737e-05 8.2328967e-06
1.06 6.829474 4.1541098e+08 10022.397 0.022735997 0.0059673721 9.6337739e-05 4.7880844e-06 1.371791e-05 6.309302e-06 0.0023900848 6.0645827e-05 -0.37380542 0.01750933 3.1297011e-08 1.0479578e-09 7.5944709e-05 8.2329174e-06
1.07 6.893903 4.1541095e+08 10022.57 0.022734516 0.0059671643 9.816256e-05 4.878813e-06 1.3716489e-05 6.309913e-06 0.0023900848 6.0645827e-05 -0.37380173 0.017509327 3.1297012e-08 1.0479578e-09 7.5943573e-05 8.2329399e-06
1.08 6.958332 4.1541093e+08 10022.699 0.022732845 0.0059669339 0.0001000043 4.9703937e-06 1.371488e-05 6.3106079e-06 0.0023900847 6.0645822e-05 -0.37379898 0.017509325 3.1297014e-08 1.0479578e-09 7.594232e-05 8.2329645e-06
1.09 7.022761 4.1541091e+08 10022.775 0.022730963 0.0059666788 0.00010186292 5.0628267e-06 1.3713061e-05 6.3113954e-06 0.0023900845 6.0645812e-05 -0.37379735 0.017509322 3.1297017e-08 1.0479579e-09 7.5940941e-05 8.2329913e-06
1.1 7.08719 4.1541091e+08 10022.811 0.022728848 0.0059663965 0.00010373841 5.1561123e-06 1.3711007e-05 6.3122869e-06 0.0023900842 6.0645799e-05 -0.37379654 0.017509318 3.1297021e-08 1.0479579e-09 7.5939427e-05 8.2330207e-06
