grating_mod grating_value[um] SAW_freq[Hz] SAW_freq_error[Hz] A[Wm^-2] A_err[Wm^-2] alpha[m^2s^-1] alpha_err[m2s-1] beta[s^0.5] beta_err[s^0.5] B[Wm^-2] B_err[Wm^-2] theta theta_err tau[s] tau_err[s] C[Wm^-2] C_err[Wm^-2]
0.9 5.79861 4.1373034e+08 8311.7089 0.013675771 0.004084961 6.184079e-05 3.2461894e-06 1.7276698e-06 1.0988584e-05 0.0021182464 5.4727845e-05 0.4194891 0.01803489 3.427694e-08 1.1932735e-09 1.1923222e-05 8.2339839e-06
0.91 5.863039 4.1373036e+08 8311.6712 0.013675288 0.0040848879 6.3222275e-05 3.3186918e-06 1.7263869e-06 1.0989189e-05 0.0021182467 5.4727828e-05 0.41948719 0.018034883 3.4276934e-08 1.1932727e-09 1.1922883e-05 8.2339948e-06
0.92 5.927468 4.1373038e+08 8311.6254 0.013674827 0.0040848174 6.4619027e-05 3.3919949e-06 1.7251649e-06 1.0989763e-05 0.0021182472 5.4727813e-05 0.41948481 0.018034873 3.4276926e-08 1.1932718e-09 1.1922555e-05 8.234005e-06
0.93 5.991897 4.137304e+08 8311.5619 0.013674336 0.004084744 6.6031005e-05 3.4660993e-06 1.7238661e-06 1.0990377e-05 0.002118248 5.4727796e-05 0.41948146 0.018034861 3.4276913e-08 1.1932705e-09 1.1922207e-05 8.234015e-06
0.94 6.056326 4.1373043e+08 8311.4755 0.015785068 0.0066716565 6.6528101e-05 4.1830287e-06 5.4344747e-06 1.5057262e-05 0.0021715291 5.9964731e-05 -2.0227726 0.018459181 3.4401482e-08 1.211127e-09 9.9015026e-06 8.3163126e-06
0.95 6.120755 4.137302e+08 8312.0789 0.015785168 0.006671629 6.7951096e-05 4.2724497e-06 5.434783e-06 1.5056989e-05 0.0021715156 5.9964631e-05 -2.0227356 0.018459279 3.440164e-08 1.2111391e-09 9.9014054e-06 8.3163346e-06
0.96 6.185184 4.1373057e+08 8311.1082 0.015785498 0.0066716483 6.9389517e-05 4.362808e-06 5.4353762e-06 1.5056454e-05 0.0021715367 5.996479e-05 -2.022795 0.018459128 3.4401394e-08 1.2111202e-09 9.9017157e-06 8.3163032e-06
0.97 6.249613 4.1373094e+08 8310.1611 0.015785781 0.0066716617 7.0842977e-05 4.454113e-06 5.435873e-06 1.5055993e-05 0.0021715574 5.9964944e-05 -2.0228531 0.018458978 3.4401152e-08 1.2111018e-09 9.901998e-06 8.3162731e-06
0.98 6.314042 4.1373128e+08 8309.2767 0.01578602 0.006671669 7.2311468e-05 4.5463648e-06 5.4362796e-06 1.5055601e-05 0.0021715767 5.9965089e-05 -2.0229073 0.018458839 3.4400926e-08 1.2110846e-09 9.9022459e-06 8.3162455e-06
0.99 6.378471 4.1373159e+08 8308.4646 0.015786207 0.0066716691 7.3794981e-05 4.6395637e-06 5.4365848e-06 1.5055288e-05 0.0021715945 5.9965221e-05 -2.0229572 0.018458711 3.4400719e-08 1.2110687e-09 9.9024538e-06 8.3162208e-06
1 6.4429 4.1373188e+08 8307.731 0.01578635 0.006671663 7.5293519e-05 4.7337095e-06 5.4368035e-06 1.5055043e-05 0.0021716106 5.996534e-05 -2.0230022 0.018458595 3.440053e-08 1.2110543e-09 9.9026245e-06 8.3161991e-06
1.01 6.507329 4.1373213e+08 8307.0789 0.015786445 0.0066716501 7.6807075e-05 4.8288026e-06 5.4369312e-06 1.5054868e-05 0.0021716249 5.9965446e-05 -2.0230423 0.01845849 3.4400363e-08 1.2110415e-09 9.902756e-06 8.3161806e-06
1.02 6.571758 4.1373235e+08 8306.5087 0.015786594 0.0066716457 7.8335726e-05 4.9248411e-06 5.4371849e-06 1.5054607e-05 0.0021716374 5.9965539e-05 -2.0230773 0.018458399 3.4400217e-08 1.2110304e-09 9.9029034e-06 8.3161638e-06
1.03 6.636187 4.1373254e+08 8306.0191 0.015786997 0.0066716798 7.9879632e-05 5.0218216e-06 5.438e-06 1.505394e-05 0.0021716479 5.9965621e-05 -2.0231074 0.018458327 3.4400095e-08 1.2110211e-09 9.9031773e-06 8.3161457e-06
1.04 6.700616 4.1373269e+08 8305.6097 0.015787337 0.0066717046 8.1438549e-05 5.1197495e-06 5.4386879e-06 1.5053371e-05 0.0021716566 5.9965689e-05 -2.0231325 0.018458263 3.4399993e-08 1.2110134e-09 9.9034028e-06 8.316131e-06
1.05 6.765045 4.137328e+08 8305.3445 0.015787606 0.0066717186 8.3012456e-05 5.2186252e-06 5.4392426e-06 1.5052905e-05 0.0021716623 5.9965733e-05 -2.0231488 0.018458224 3.4399927e-08 1.2110084e-09 9.9035652e-06 8.3161218e-06
1.06 6.829474 4.1373036e+08 8311.6755 0.015786707 0.006671511 8.4599365e-05 5.3184965e-06 5.4381543e-06 1.5053873e-05 0.0021715227 5.9964686e-05 -2.0227601 0.01845923 3.4401561e-08 1.211133e-09 9.9019089e-06 8.3163395e-06
1.07 6.893903 4.1373035e+08 8311.6877 0.015786841 0.0066715042 8.6203208e-05 5.4192689e-06 5.4384524e-06 1.5053607e-05 0.0021715222 5.9964684e-05 -2.0227593 0.018459232 3.4401567e-08 1.2111334e-09 9.9019488e-06 8.316341e-06
1.08 6.958332 4.1373035e+08 8311.6964 0.01578693 0.0066714915 8.7822076e-05 5.5209882e-06 5.438653e-06 1.5053414e-05 0.0021715219 5.9964682e-05 -2.0227588 0.018459232 3.440157e-08 1.2111337e-09 9.9019656e-06 8.3163429e-06
1.09 7.022761 4.1373035e+08 8311.7021 0.015786979 0.0066714736 8.945597e-05 5.6236545e-06 5.4387664e-06 1.5053285e-05 0.0021715217 5.9964679e-05 -2.0227585 0.018459235 3.4401573e-08 1.2111339e-09 9.9019618e-06 8.3163453e-06
1.1 7.08719 4.1373034e+08 8311.7051 0.015786984 0.0066714496 9.1104884e-05 5.7272679e-06 5.4387823e-06 1.5053229e-05 0.0021715216 5.9964677e-05 -2.0227583 0.018459236 3.4401574e-08 1.2111339e-09 9.9019346e-06 8.3163481e-06
