grating_mod grating_value[um] SAW_freq[Hz] SAW_freq_error[Hz] A[Wm^-2] A_err[Wm^-2] alpha[m^2s^-1] alpha_err[m2s-1] beta[s^0.5] beta_err[s^0.5] B[Wm^-2] B_err[Wm^-2] theta theta_err tau[s] tau_err[s] C[Wm^-2] C_err[Wm^-2]
0.9 5.79861 4.1424619e+08 6704.6905 0.01733791 0.0038017054 6.3972001e-05 2.7601693e-06 5.0079129e-06 7.0726293e-06 0.002882184 6.0811712e-05 1.2100648 0.014750223 3.0075179e-08 8.59135e-10 0.00020136583 8.5207763e-06
0.91 5.863039 4.142462e+08 6704.6582 0.017336349 0.0038014575 6.5399469e-05 2.8217576e-06 5.0054507e-06 7.0734254e-06 0.0028821839 6.0811636e-05 1.2100634 0.014750207 3.0075195e-08 8.5913462e-10 0.00020136186 8.520824e-06
0.92 5.927468 4.1424631e+08 6704.3463 0.017334874 0.0038012138 6.6842709e-05 2.8840216e-06 5.003152e-06 7.0741559e-06 0.0028821793 6.0811368e-05 1.21005 0.014750167 3.0075325e-08 8.5913622e-10 0.00020135798 8.5208624e-06
0.93 5.991897 4.1424698e+08 6702.3838 0.01733329 0.0038009321 6.8301494e-05 2.9469441e-06 5.0007164e-06 7.0748955e-06 0.0028821465 6.0809939e-05 1.209966 0.01474996 3.0076132e-08 8.591498e-10 0.00020135388 8.5208578e-06
0.94 6.056326 4.1424747e+08 6700.9448 0.019260279 0.010528873 6.7150329e-05 4.453236e-06 3.6473108e-06 2.124954e-05 0.0031279906 7.7112076e-05 2.1480647 0.015509124 2.9919353e-08 8.6988671e-10 0.00019679791 8.7521393e-06
0.95 6.120755 4.1424862e+08 6697.5804 0.01925843 0.010528477 6.858613e-05 4.5484356e-06 3.6434114e-06 2.1252982e-05 0.0031279012 7.7108745e-05 2.1478971 0.015508929 2.9920447e-08 8.6991193e-10 0.00019679763 8.7520498e-06
0.96 6.185184 4.1424713e+08 6701.9285 0.019258789 0.010528478 7.0037341e-05 4.6446542e-06 3.6445169e-06 2.1252033e-05 0.0031280156 7.7112932e-05 2.1481125 0.015509166 2.9919075e-08 8.6987986e-10 0.00019679708 8.7521992e-06
0.97 6.249613 4.142471e+08 6702.0236 0.019257729 0.010528228 7.1503511e-05 4.7418767e-06 3.6424551e-06 2.1253894e-05 0.0031280177 7.7112978e-05 2.1481169 0.015509164 2.9919062e-08 8.6987933e-10 0.0001967966 8.7522192e-06
0.98 6.314042 4.142471e+08 6702.0182 0.019256492 0.010527949 7.2984781e-05 4.8401084e-06 3.6400283e-06 2.1256098e-05 0.003128017 7.7112922e-05 2.1481165 0.015509157 2.991908e-08 8.6987958e-10 0.00019679608 8.7522376e-06
0.99 6.378471 4.1424711e+08 6701.9816 0.019255088 0.010527643 7.4481145e-05 4.9393497e-06 3.6372577e-06 2.1258625e-05 0.0031280154 7.7112835e-05 2.1481143 0.015509147 2.9919109e-08 8.6988007e-10 0.0001967955 8.7522567e-06
1 6.4429 4.1424713e+08 6701.923 0.019253509 0.010527307 7.5992593e-05 5.0396008e-06 3.634128e-06 2.1261492e-05 0.0031280131 7.7112725e-05 2.1481112 0.01550914 2.9919145e-08 8.6988073e-10 0.00019679486 8.752277e-06
1.01 6.507329 4.1424716e+08 6701.8545 0.019251858 0.010526961 7.7519171e-05 5.1408604e-06 3.6308458e-06 2.1264503e-05 0.0031280105 7.7112607e-05 2.1481075 0.01550913 2.9919183e-08 8.6988147e-10 0.00019679419 8.7522976e-06
1.02 6.571758 4.1424719e+08 6701.7765 0.01925004 0.010526588 7.9060826e-05 5.2431299e-06 3.6272187e-06 2.126784e-05 0.0031280076 7.7112479e-05 2.1481034 0.015509121 2.9919223e-08 8.6988228e-10 0.00019679347 8.7523196e-06
1.03 6.636187 4.1424597e+08 6705.3473 0.019249138 0.010526379 8.0617701e-05 5.3464149e-06 3.6256938e-06 2.1269346e-05 0.0031281005 7.7115885e-05 2.1482794 0.015509316 2.9918105e-08 8.6985616e-10 0.00019679257 8.7524555e-06
1.04 6.700616 4.1424597e+08 6705.3319 0.019246919 0.010525939 8.2189449e-05 5.4507058e-06 3.6212501e-06 2.1273457e-05 0.0031280989 7.7115818e-05 2.1482784 0.015509309 2.9918124e-08 8.6985652e-10 0.0001967917 8.7524841e-06
1.05 6.765045 4.1424598e+08 6705.3132 0.019244469 0.01052546 8.3776219e-05 5.5560078e-06 3.6163323e-06 2.1278015e-05 0.0031280971 7.7115746e-05 2.1482772 0.015509306 2.9918143e-08 8.6985692e-10 0.00019679074 8.752515e-06
1.06 6.829474 4.1424599e+08 6705.2922 0.019241774 0.01052494 8.5377995e-05 5.6623212e-06 3.610912e-06 2.1283047e-05 0.0031280951 7.7115674e-05 2.1482759 0.015509304 2.9918161e-08 8.6985734e-10 0.0001967897 8.7525486e-06
1.07 6.893903 4.1424599e+08 6705.2696 0.019238829 0.010524379 8.6994766e-05 5.7696463e-06 3.6049756e-06 2.1288566e-05 0.0031280929 7.7115601e-05 2.1482745 0.0155093 2.9918178e-08 8.6985778e-10 0.00019678857 8.7525848e-06
1.08 6.958332 4.14246e+08 6705.2461 0.019235623 0.010523773 8.8626517e-05 5.8779835e-06 3.5985012e-06 2.1294593e-05 0.0031280905 7.7115531e-05 2.1482732 0.015509298 2.9918193e-08 8.6985822e-10 0.00019678735 8.7526238e-06
1.09 7.022761 4.1424601e+08 6705.2242 0.019232155 0.010523125 9.0273237e-05 5.9873331e-06 3.5914851e-06 2.1301132e-05 0.0031280879 7.7115465e-05 2.1482719 0.015509298 2.9918204e-08 8.6985865e-10 0.00019678604 8.7526658e-06
1.1 7.08719 4.1424602e+08 6705.1975 0.019228421 0.010522432 9.1934919e-05 6.0976956e-06 3.5839185e-06 2.1308192e-05 0.003128085 7.7115402e-05 2.1482704 0.015509303 2.9918213e-08 8.698591e-10 0.00019678464 8.7527104e-06
