grating_mod grating_value[um] SAW_freq[Hz] SAW_freq_error[Hz] A[Wm^-2] A_err[Wm^-2] alpha[m^2s^-1] alpha_err[m2s-1] beta[s^0.5] beta_err[s^0.5] B[Wm^-2] B_err[Wm^-2] theta theta_err tau[s] tau_err[s] C[Wm^-2] C_err[Wm^-2]
0.9 5.79861 4.1356088e+08 3577.922 0.023132245 0.012422895 6.2829645e-05 4.3160914e-06 9.5514198e-06 1.7706832e-05 0.0028031874 6.815578e-05 1.9580199 0.015510889 3.7216559e-08 1.1043111e-09 -0.00017097128 9.1279785e-06
0.91 5.863039 4.1356087e+08 3577.9511 0.023132275 0.01242281 6.4233607e-05 4.4124694e-06 9.5514978e-06 1.7706667e-05 0.0028031866 6.8155777e-05 1.958022 0.015510895 3.7216563e-08 1.1043115e-09 -0.00017097135 9.1279844e-06
0.92 5.927468 4.1356085e+08 3577.9802 0.023132306 0.012422727 6.565308e-05 4.5099122e-06 9.5515821e-06 1.7706498e-05 0.0028031857 6.8155773e-05 1.9580241 0.015510898 3.7216568e-08 1.104312e-09 -0.00017097143 9.1279902e-06
0.93 5.991897 4.1356087e+08 3577.9333 0.023132332 0.01242264 6.7088058e-05 4.608418e-06 9.5516602e-06 1.7706333e-05 0.0028031874 6.8155781e-05 1.9580207 0.015510891 3.7216558e-08 1.104311e-09 -0.00017097151 9.1279942e-06
0.94 6.056326 4.1356095e+08 3577.7557 0.023132349 0.012422545 6.8538535e-05 4.7079855e-06 9.5517287e-06 1.7706168e-05 0.0028031934 6.8155806e-05 1.9580078 0.015510859 3.7216522e-08 1.1043078e-09 -0.00017097161 9.1279951e-06
0.95 6.120755 4.1356051e+08 3578.8428 0.023132439 0.012422539 7.000462e-05 4.8086478e-06 9.5519233e-06 1.7705995e-05 0.0028031581 6.8155659e-05 1.9580865 0.015511046 3.7216729e-08 1.1043271e-09 -0.00017097162 9.1280251e-06
0.96 6.185184 4.1356081e+08 3578.0883 0.023132424 0.012422399 7.1486056e-05 4.9103297e-06 9.5519686e-06 1.7705809e-05 0.0028031831 6.8155765e-05 1.9580317 0.015510914 3.7216583e-08 1.1043135e-09 -0.00017097182 9.128013e-06
0.97 6.249613 4.1356081e+08 3578.0916 0.023132453 0.012422294 7.2983015e-05 5.0130921e-06 9.5521573e-06 1.7705559e-05 0.0028031834 6.8155769e-05 1.9580319 0.015510913 3.721658e-08 1.1043133e-09 -0.00017097207 9.1280197e-06
0.98 6.314042 4.1356081e+08 3578.0931 0.023132478 0.012422184 7.4495468e-05 5.1169183e-06 9.5523567e-06 1.7705302e-05 0.0028031839 6.8155773e-05 1.958032 0.015510913 3.7216577e-08 1.1043131e-09 -0.00017097235 9.1280266e-06
0.99 6.378471 4.1356041e+08 3579.0722 0.023132545 0.012422135 7.6023492e-05 5.2218342e-06 9.5526521e-06 1.7705042e-05 0.0028031523 6.8155645e-05 1.9581032 0.015511079 3.7216762e-08 1.1043304e-09 -0.00017097259 9.1280566e-06
1 6.4429 4.1356041e+08 3579.0731 0.023132543 0.012422012 7.7566922e-05 5.3277892e-06 9.5528583e-06 1.7704786e-05 0.0028031529 6.8155651e-05 1.9581032 0.015511078 3.7216759e-08 1.1043302e-09 -0.00017097294 9.1280643e-06
1.01 6.507329 4.1356041e+08 3579.0703 0.023132523 0.012421881 7.9125835e-05 5.4348081e-06 9.5530581e-06 1.7704538e-05 0.0028031537 6.8155658e-05 1.958103 0.015511077 3.7216754e-08 1.1043299e-09 -0.00017097333 9.1280724e-06
