grating_mod grating_value[um] SAW_freq[Hz] SAW_freq_error[Hz] A[Wm^-2] A_err[Wm^-2] alpha[m^2s^-1] alpha_err[m2s-1] beta[s^0.5] beta_err[s^0.5] B[Wm^-2] B_err[Wm^-2] theta theta_err tau[s] tau_err[s] C[Wm^-2] C_err[Wm^-2]
0.9 5.79861 4.1546576e+08 11368.758 0.015551942 0.0034451648 5.9271574e-05 2.7250534e-06 7.5912241e-06 6.8686684e-06 0.0022514065 5.2541008e-05 0.58464923 0.016285293 3.593561e-08 1.1411109e-09 -3.8689827e-05 8.2937886e-06
0.91 5.863039 4.1546577e+08 11368.683 0.015553617 0.0034453021 6.0597454e-05 2.7859129e-06 7.594562e-06 6.8674135e-06 0.0022514078 5.2541043e-05 0.584647 0.016285291 3.593561e-08 1.1411109e-09 -3.8688174e-05 8.2937576e-06
0.92 5.927468 4.154678e+08 11357.565 0.015555787 0.0034453893 6.193821e-05 2.8473722e-06 7.5990882e-06 6.8655707e-06 0.0022512039 5.2534353e-05 0.584356 0.016284561 3.5942003e-08 1.1412834e-09 -3.8686456e-05 8.2935591e-06
0.93 5.991897 4.1546755e+08 11358.954 0.015557418 0.0034455364 6.3293484e-05 2.909585e-06 7.6023114e-06 6.8643804e-06 0.0022512324 5.2535279e-05 0.58439204 0.016284655 3.5941156e-08 1.1412605e-09 -3.868479e-05 8.2935496e-06
0.94 6.056326 4.1546749e+08 11359.297 0.01528988 0.0084699515 6.252925e-05 4.3016064e-06 1.0505304e-06 2.3490186e-05 0.0023891552 6.376643e-05 1.8862743 0.016961436 3.5762874e-08 1.1630474e-09 -4.185485e-05 8.5075595e-06
0.95 6.120755 4.1546712e+08 11361.324 0.015294894 0.0084707154 6.3869171e-05 4.3934396e-06 1.0641194e-06 2.3476827e-05 0.0023892061 6.3768482e-05 1.8863348 0.01696159 3.5761666e-08 1.1630138e-09 -4.1853161e-05 8.5075348e-06
0.96 6.185184 4.1546705e+08 11361.684 0.015299831 0.0084714636 6.5223399e-05 4.4862261e-06 1.0772562e-06 2.3463794e-05 0.0023892171 6.3768923e-05 1.8863461 0.016961622 3.5761429e-08 1.1630074e-09 -4.1851419e-05 8.5074769e-06
0.97 6.249613 4.1546702e+08 11361.833 0.015304477 0.0084721502 6.6591694e-05 4.5799721e-06 1.0895091e-06 2.3451551e-05 0.0023892232 6.3769156e-05 1.886351 0.016961637 3.5761316e-08 1.1630043e-09 -4.1849897e-05 8.5074201e-06
0.98 6.314042 4.1546704e+08 11361.748 0.015308664 0.0084727443 6.7973943e-05 4.6746784e-06 1.1004165e-06 2.3440537e-05 0.0023892235 6.3769157e-05 1.8863491 0.016961636 3.576134e-08 1.163005e-09 -4.1848682e-05 8.5073666e-06
0.99 6.378471 4.154671e+08 11361.388 0.015312193 0.0084732098 6.9370009e-05 4.7703469e-06 1.109433e-06 2.3431269e-05 0.0023892171 6.3768882e-05 1.8863389 0.016961613 3.5761524e-08 1.1630102e-09 -4.1847877e-05 8.5073189e-06
