grating_mod grating_value[um] SAW_freq[Hz] SAW_freq_error[Hz] A[Wm^-2] A_err[Wm^-2] alpha[m^2s^-1] alpha_err[m2s-1] beta[s^0.5] beta_err[s^0.5] B[Wm^-2] B_err[Wm^-2] theta theta_err tau[s] tau_err[s] C[Wm^-2] C_err[Wm^-2]
0.9 5.82327 3.9752886e+08 2785.5774 0.061514126 0.00085932092 9.203173e-06 1.0899142e-07 1.6550656e-05 7.8324222e-07 0.017294477 0.00010469351 2.856058 0.0038332287 3.3165094e-08 2.412563e-10 0.00034038358 7.1402528e-05
0.91 5.887973 3.9752886e+08 2785.5774 0.061513437 0.00085930108 9.4087416e-06 1.114247e-07 1.6550033e-05 7.8324987e-07 0.017294488 0.00010469299 2.8560575 0.003833208 3.3165263e-08 2.4125639e-10 0.00034034363 7.1405574e-05
0.92 5.952676 3.9752886e+08 2785.5774 0.052092165 0.001280006 8.6541803e-06 1.9486989e-07 5.2893999e-06 1.7146461e-06 0.0095728952 0.00012390042 2.8249207 0.0082916558 5.1062662e-08 8.5572877e-10 -0.00014857464 0.00013840057
0.93 6.017379 3.9752886e+08 2785.5774 0.052092317 0.0012799916 8.8433766e-06 1.9912558e-07 5.2895772e-06 1.7146265e-06 0.0095728909 0.00012390044 2.8249211 0.0082916603 5.1062675e-08 8.5572952e-10 -0.00014856309 0.00013840384
0.94 6.082082 3.9752886e+08 2785.5774 0.052092603 0.0012799803 9.0346393e-06 2.0342714e-07 5.2899334e-06 1.7146003e-06 0.0095728855 0.00012390047 2.8249213 0.0082916669 5.1062688e-08 8.5573043e-10 -0.00014854006 0.00013840647
0.95 6.146785 3.9752886e+08 2785.5774 0.052092917 0.0012799702 9.2279541e-06 2.077747e-07 5.2903275e-06 1.7145733e-06 0.0095728791 0.0001239005 2.8249214 0.0082916747 5.1062703e-08 8.5573155e-10 -0.00014851429 0.00013840888
0.96 6.211488 3.9752886e+08 2785.5774 0.052093237 0.0012799609 9.423318e-06 2.1216827e-07 5.2907293e-06 1.7145465e-06 0.0095728722 0.00012390054 2.8249214 0.0082916835 5.1062719e-08 8.5573276e-10 -0.00014848766 0.00013841113
0.97 6.276191 3.9752886e+08 2785.5774 0.052093633 0.0012799534 9.6207414e-06 2.1660775e-07 5.2912312e-06 1.7145161e-06 0.0095728652 0.00012390057 2.8249215 0.0082916919 5.1062735e-08 8.5573392e-10 -0.0001484546 0.00013841298
0.98 6.340894 3.9752886e+08 2785.5774 0.052094011 0.0012799462 9.8202111e-06 2.2109327e-07 5.291711e-06 1.7144871e-06 0.0095728575 0.00012390062 2.8249214 0.008291701 5.1062751e-08 8.5573525e-10 -0.00014842255 0.00013841478
0.99 6.405597 3.9752886e+08 2785.5774 0.052094418 0.0012799402 1.0021734e-05 2.2562477e-07 5.2922277e-06 1.7144571e-06 0.0095728496 0.00012390066 2.8249214 0.0082917109 5.1062768e-08 8.5573662e-10 -0.00014838792 0.00013841636
1 6.4703 3.9752886e+08 2785.5774 0.052094842 0.0012799349 1.0225309e-05 2.3020224e-07 5.2927678e-06 1.7144266e-06 0.0095728414 0.00012390071 2.8249213 0.0082917219 5.1062785e-08 8.5573801e-10 -0.00014835163 0.00013841776
1.01 6.535003 3.9752886e+08 2785.5774 0.052095279 0.0012799304 1.0430934e-05 2.3482572e-07 5.2933263e-06 1.7143958e-06 0.0095728326 0.00012390076 2.8249212 0.0082917334 5.1062804e-08 8.5573953e-10 -0.00014831394 0.00013841902
1.02 6.599706 3.9752886e+08 2785.5774 0.052095731 0.0012799266 1.0638612e-05 2.3949518e-07 5.2939029e-06 1.7143646e-06 0.0095728237 0.00012390082 2.8249211 0.0082917438 5.1062822e-08 8.5574106e-10 -0.00014827495 0.00013842012
1.03 6.664409 3.9752886e+08 2785.5774 0.052096194 0.0012799235 1.0848341e-05 2.4421063e-07 5.2944951e-06 1.7143331e-06 0.0095728149 0.00012390087 2.824921 0.0082917558 5.1062838e-08 8.5574257e-10 -0.0001482348 0.00013842108
1.04 6.729112 3.9752886e+08 2785.5774 0.052096665 0.0012799211 1.1060121e-05 2.4897208e-07 5.2950991e-06 1.7143016e-06 0.0095728054 0.00012390093 2.8249208 0.0082917675 5.1062857e-08 8.5574421e-10 -0.00014819371 0.00013842192
