Study Name	VanadiumIrradiated_V3plus
Sample Name	2022-01-04
Run Name	unirradiated_1
Operator	Angus
Date	1/4/2022
Time	13:42
Sign	FIX
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	13:42:27
	
Time	Amplitude
0.000000E+0	-9.232816E-4
5.000000E-11	-8.444859E-4
1.000000E-10	-7.519866E-4
1.500000E-10	-6.783297E-4
2.000000E-10	-6.269412E-4
2.500000E-10	-5.995340E-4
3.000000E-10	-5.310160E-4
3.500000E-10	-4.659239E-4
4.000000E-10	-3.991188E-4
4.500000E-10	-3.031936E-4
5.000000E-10	-2.209720E-4
5.500000E-10	-1.987037E-4
6.000000E-10	-1.884260E-4
6.500000E-10	-2.124073E-4
7.000000E-10	-2.381015E-4
7.500000E-10	-2.757864E-4
8.000000E-10	-3.340267E-4
8.500000E-10	-3.717116E-4
9.000000E-10	-4.008318E-4
9.500000E-10	-4.196742E-4
1.000000E-9	-4.522203E-4
1.050000E-9	-4.796275E-4
1.100000E-9	-4.642109E-4
1.150000E-9	-4.368037E-4
1.200000E-9	-4.025447E-4
1.250000E-9	-3.682857E-4
1.300000E-9	-3.117584E-4
1.350000E-9	-3.031936E-4
1.400000E-9	-3.597210E-4
1.450000E-9	-3.665728E-4
1.500000E-9	-4.368037E-4
1.550000E-9	-5.464326E-4
1.600000E-9	-6.594873E-4
1.650000E-9	-7.434218E-4
1.700000E-9	-7.828197E-4
1.750000E-9	-8.170787E-4
1.800000E-9	-8.479118E-4
1.850000E-9	-8.684672E-4
1.900000E-9	-8.530506E-4
1.950000E-9	-8.376341E-4
2.000000E-9	-7.965233E-4
2.050000E-9	-7.434218E-4
2.100000E-9	-6.663391E-4
2.150000E-9	-6.183765E-4
2.200000E-9	-5.943952E-4
2.250000E-9	-5.721268E-4
2.300000E-9	-5.738398E-4
2.350000E-9	-6.132376E-4
2.400000E-9	-6.680520E-4
2.450000E-9	-7.348571E-4
2.500000E-9	-8.085139E-4
2.550000E-9	-8.599024E-4
2.600000E-9	-9.078650E-4
2.650000E-9	-9.284204E-4
2.700000E-9	-9.335593E-4
2.750000E-9	-9.061521E-4
2.800000E-9	-8.873096E-4
2.850000E-9	-8.479118E-4
2.900000E-9	-8.085139E-4
2.950000E-9	-7.365700E-4
3.000000E-9	-6.646261E-4
3.050000E-9	-5.875434E-4
3.100000E-9	-4.727757E-4
3.150000E-9	-3.220361E-4
3.200000E-9	-1.781483E-4
3.250000E-9	-2.569573E-5
3.300000E-9	1.096273E-4
3.350000E-9	1.952748E-4
3.400000E-9	2.603669E-4
3.450000E-9	2.483763E-4
3.500000E-9	2.243950E-4
3.550000E-9	1.387475E-4
3.600000E-9	4.624817E-5
3.650000E-9	-8.564899E-5
3.700000E-9	-2.124073E-4
3.750000E-9	-3.682857E-4
3.800000E-9	-5.053217E-4
3.850000E-9	-6.012470E-4
3.900000E-9	-6.714779E-4
3.950000E-9	-6.783297E-4
4.000000E-9	-6.252283E-4
4.050000E-9	-5.361549E-4
4.100000E-9	-4.470814E-4
4.150000E-9	-3.271749E-4
4.200000E-9	-2.124073E-4
4.250000E-9	-1.438893E-4
4.300000E-9	-1.267598E-4
4.350000E-9	-1.181950E-4
