Study Name	VanadiumIrradiated_V3plus
Sample Name	2022-01-04
Run Name	unirradiated_7
Operator	Angus
Date	1/4/2022
Time	13:51
Sign	NEG
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	13:51:38
	
Time	Amplitude
0.000000E+0	-1.127120E-3
5.000000E-11	-1.079157E-3
1.000000E-10	-1.046611E-3
1.500000E-10	-1.003787E-3
2.000000E-10	-9.695282E-4
2.500000E-10	-9.284174E-4
3.000000E-10	-8.992973E-4
3.500000E-10	-8.975843E-4
4.000000E-10	-8.753160E-4
4.500000E-10	-8.701771E-4
5.000000E-10	-8.616124E-4
5.500000E-10	-8.513347E-4
6.000000E-10	-8.307793E-4
6.500000E-10	-8.085109E-4
7.000000E-10	-8.170757E-4
7.500000E-10	-8.016591E-4
8.000000E-10	-7.982332E-4
8.500000E-10	-8.119368E-4
9.000000E-10	-8.461958E-4
9.500000E-10	-8.821678E-4
1.000000E-9	-9.352692E-4
1.050000E-9	-9.952225E-4
1.100000E-9	-1.024343E-3
1.150000E-9	-1.055176E-3
1.200000E-9	-1.070592E-3
1.250000E-9	-1.092861E-3
1.300000E-9	-1.084296E-3
1.350000E-9	-1.056889E-3
1.400000E-9	-1.012352E-3
1.450000E-9	-9.506858E-4
1.500000E-9	-8.736030E-4
1.550000E-9	-8.050850E-4
1.600000E-9	-7.297152E-4
1.650000E-9	-6.663361E-4
1.700000E-9	-6.029569E-4
1.750000E-9	-5.652720E-4
1.800000E-9	-5.498555E-4
1.850000E-9	-5.618461E-4
1.900000E-9	-5.926792E-4
1.950000E-9	-6.560584E-4
2.000000E-9	-7.194375E-4
2.050000E-9	-7.879555E-4
2.100000E-9	-8.701771E-4
2.150000E-9	-9.404081E-4
2.200000E-9	-1.014065E-3
2.250000E-9	-1.043185E-3
2.300000E-9	-1.068879E-3
2.350000E-9	-1.077444E-3
2.400000E-9	-1.092861E-3
2.450000E-9	-1.074018E-3
2.500000E-9	-1.048324E-3
2.550000E-9	-1.017491E-3
2.600000E-9	-1.003787E-3
2.650000E-9	-9.798059E-4
2.700000E-9	-9.575376E-4
2.750000E-9	-9.489728E-4
2.800000E-9	-9.369822E-4
2.850000E-9	-9.318433E-4
2.900000E-9	-9.335563E-4
2.950000E-9	-9.421210E-4
3.000000E-9	-9.284174E-4
3.050000E-9	-9.301304E-4
3.100000E-9	-9.267045E-4
3.150000E-9	-9.044361E-4
3.200000E-9	-8.753160E-4
3.250000E-9	-8.581865E-4
3.300000E-9	-8.393440E-4
3.350000E-9	-8.342052E-4
3.400000E-9	-8.187886E-4
3.450000E-9	-8.050850E-4
3.500000E-9	-8.033721E-4
3.550000E-9	-8.119368E-4
3.600000E-9	-8.170757E-4
