grating_mod grating_value[um] SAW_freq[Hz] SAW_freq_error[Hz] A[Wm^-2] A_err[Wm^-2] alpha[m^2s^-1] alpha_err[m2s-1] beta[s^0.5] beta_err[s^0.5] B[Wm^-2] B_err[Wm^-2] theta theta_err tau[s] tau_err[s] C[Wm^-2] C_err[Wm^-2]
0.9 5.82327 3.9781795e+08 3196.9275 0.047341898 0.00084554461 9.2608728e-06 1.2747539e-07 3.458309e-06 1.2333709e-06 0.014387949 0.00010272435 2.6583936 0.0045153465 3.2781097e-08 2.7997342e-10 0.00013267056 6.8548047e-05
0.91 5.887973 3.9781795e+08 3196.927 0.047342306 0.00084553628 9.4678706e-06 1.3032091e-07 3.4589481e-06 1.2333414e-06 0.014387954 0.00010272435 2.6583935 0.004515345 3.2781089e-08 2.7997327e-10 0.00013269966 6.8549335e-05
0.92 5.952676 3.9781795e+08 3196.9266 0.047342722 0.00084552843 9.6771586e-06 1.3319785e-07 3.4595958e-06 1.233312e-06 0.014387959 0.00010272436 2.6583935 0.0045153442 3.2781082e-08 2.7997312e-10 0.00013272903 6.8550546e-05
0.93 6.017379 3.9781796e+08 3196.9262 0.047343043 0.00084552004 9.8887226e-06 1.3610631e-07 3.4601106e-06 1.2332869e-06 0.014387962 0.00010272436 2.6583935 0.0045153427 3.2781076e-08 2.7997301e-10 0.00013275283 6.855185e-05
0.94 6.082082 3.9781796e+08 3196.9258 0.047343407 0.00084551243 1.0102581e-05 1.3904616e-07 3.4606825e-06 1.2332604e-06 0.014387966 0.00010272436 2.6583935 0.0045153423 3.2781069e-08 2.7997287e-10 0.00013277891 6.8553026e-05
0.95 6.146785 3.9781796e+08 3196.9253 0.047343771 0.00084550517 1.0318729e-05 1.4201745e-07 3.4612513e-06 1.2332342e-06 0.01438797 0.00010272437 2.6583934 0.0045153412 3.2781063e-08 2.7997274e-10 0.00013280479 6.8554148e-05
0.96 6.211488 3.9781796e+08 3196.9249 0.047344169 0.00084549858 1.0537171e-05 1.4502013e-07 3.4618661e-06 1.233207e-06 0.014387975 0.00010272437 2.6583934 0.0045153396 3.2781056e-08 2.799726e-10 0.00013283251 6.8555161e-05
0.97 6.276191 3.9781796e+08 3196.9245 0.047344505 0.0008454917 1.0757892e-05 1.480543e-07 3.4623927e-06 1.2331827e-06 0.014387979 0.00010272437 2.6583934 0.0045153388 3.2781051e-08 2.7997248e-10 0.00013285651 6.8556224e-05
0.98 6.340894 3.9781796e+08 3196.9241 0.047344828 0.000845485 1.09809e-05 1.5111992e-07 3.4628988e-06 1.2331592e-06 0.014387982 0.00010272438 2.6583933 0.0045153373 3.2781045e-08 2.7997236e-10 0.00013287959 6.8557259e-05
0.99 6.405597 3.9781796e+08 3196.9237 0.04734514 0.0008454785 1.1206196e-05 1.5421698e-07 3.4633894e-06 1.2331365e-06 0.014387986 0.00010272438 2.6583933 0.0045153368 3.2781039e-08 2.7997225e-10 0.00013290196 6.8558264e-05
1 6.4703 3.9781796e+08 3196.9233 0.04734544 0.00084547216 1.1433778e-05 1.5734548e-07 3.4638605e-06 1.2331146e-06 0.014387989 0.00010272438 2.6583933 0.0045153358 3.2781034e-08 2.7997214e-10 0.00013292348 6.8559244e-05
1.01 6.535003 3.9781796e+08 3196.9229 0.047345727 0.00084546597 1.1663647e-05 1.6050543e-07 3.464313e-06 1.2330935e-06 0.014387992 0.00010272439 2.6583933 0.0045153351 3.2781029e-08 2.7997203e-10 0.00013294416 6.85602e-05
1.02 6.599706 3.9781796e+08 3196.9225 0.047346004 0.00084545994 1.1895802e-05 1.6369683e-07 3.4647487e-06 1.2330731e-06 0.014387995 0.00010272439 2.6583932 0.0045153337 3.2781024e-08 2.7997193e-10 0.0001329641 6.8561133e-05
1.03 6.664409 3.9781796e+08 3196.9221 0.047346267 0.00084545402 1.2130244e-05 1.6691967e-07 3.4651642e-06 1.2330535e-06 0.014387998 0.00010272439 2.6583932 0.0045153332 3.278102e-08 2.7997183e-10 0.00013298314 6.8562047e-05
1.04 6.729112 3.9781796e+08 3196.9216 0.047346519 0.00084544824 1.2366973e-05 1.7017396e-07 3.465563e-06 1.2330346e-06 0.014388001 0.00010272439 2.6583931 0.0045153325 3.2781015e-08 2.7997173e-10 0.00013300145 6.8562941e-05
1.05 6.793815 3.9781796e+08 3196.9212 0.047346873 0.00084544368 1.2606008e-05 1.7345957e-07 3.4661005e-06 1.2330117e-06 0.014388005 0.00010272439 2.6583931 0.0045153307 3.278101e-08 2.799716e-10 0.00013302544 6.8563633e-05
1.06 6.858518 3.9781796e+08 3196.9207 0.047347129 0.0008454384 1.2847315e-05 1.7677672e-07 3.4665028e-06 1.2329931e-06 0.014388008 0.00010272439 2.658393 0.0045153301 3.2781006e-08 2.7997151e-10 0.00013304379 6.8564446e-05
1.07 6.923221 3.9781796e+08 3196.9203 0.047347379 0.00084543327 1.3090909e-05 1.8012531e-07 3.4668941e-06 1.232975e-06 0.014388011 0.00010272439 2.658393 0.0045153291 3.2781002e-08 2.7997141e-10 0.00013306164 6.8565236e-05
1.08 6.987924 3.9781796e+08 3196.9198 0.047347621 0.00084542827 1.333679e-05 1.8350535e-07 3.467274e-06 1.2329574e-06 0.014388014 0.00010272439 2.6583929 0.0045153282 3.2780998e-08 2.7997132e-10 0.00013307897 6.8566006e-05
1.09 7.052627 3.9781796e+08 3196.9195 0.047347856 0.00084542341 1.3584958e-05 1.8691683e-07 3.4676421e-06 1.2329404e-06 0.014388017 0.00010272439 2.6583929 0.0045153273 3.2780994e-08 2.7997123e-10 0.00013309577 6.8566755e-05
1.1 7.11733 3.9781796e+08 3196.9191 0.047348085 0.00084541869 1.3835414e-05 1.9035975e-07 3.4680016e-06 1.2329237e-06 0.014388019 0.00010272439 2.6583929 0.0045153267 3.278099e-08 2.7997114e-10 0.00013311218 6.8567483e-05
