Study Name	VanadiumIrradiated_V3plus
Sample Name	2022-01-04
Run Name	unirradiated_14
Operator	Angus
Date	1/4/2022
Time	13:58
Sign	FIX
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	13:58:54
	
Time	Amplitude
0.000000E+0	-5.704139E-4
5.000000E-11	-7.057369E-4
1.000000E-10	-7.725420E-4
1.500000E-10	-8.342082E-4
2.000000E-10	-8.873096E-4
2.500000E-10	-9.181427E-4
3.000000E-10	-8.410600E-4
3.500000E-10	-7.108758E-4
4.000000E-10	-5.892563E-4
4.500000E-10	-4.933311E-4
5.000000E-10	-3.477303E-4
5.500000E-10	-2.226850E-4
6.000000E-10	-1.370375E-4
6.500000E-10	-4.453819E-5
7.000000E-10	1.711466E-6
7.500000E-10	2.740572E-5
8.000000E-10	-3.083458E-5
8.500000E-10	-1.267598E-4
9.000000E-10	-2.312497E-4
9.500000E-10	-3.734246E-4
1.000000E-9	-5.207383E-4
1.050000E-9	-6.663391E-4
1.100000E-9	-7.930974E-4
1.150000E-9	-9.198557E-4
1.200000E-9	-1.000364E-3
1.250000E-9	-1.051753E-3
1.300000E-9	-9.780960E-4
1.350000E-9	-8.753190E-4
1.400000E-9	-7.759679E-4
1.450000E-9	-6.320801E-4
1.500000E-9	-5.053217E-4
1.550000E-9	-4.231001E-4
1.600000E-9	-3.357397E-4
1.650000E-9	-2.449533E-4
1.700000E-9	-2.261109E-4
1.750000E-9	-2.158332E-4
1.800000E-9	-2.518051E-4
1.850000E-9	-3.014807E-4
1.900000E-9	-3.751375E-4
1.950000E-9	-4.453685E-4
2.000000E-9	-5.036088E-4
2.050000E-9	-5.395808E-4
2.100000E-9	-5.721268E-4
2.150000E-9	-5.995340E-4
2.200000E-9	-5.669880E-4
2.250000E-9	-5.567103E-4
2.300000E-9	-5.104606E-4
2.350000E-9	-4.916181E-4
2.400000E-9	-4.539332E-4
2.450000E-9	-4.179613E-4
2.500000E-9	-3.905541E-4
2.550000E-9	-3.819893E-4
2.600000E-9	-4.076836E-4
2.650000E-9	-4.128224E-4
2.700000E-9	-4.231001E-4
2.750000E-9	-4.231001E-4
2.800000E-9	-4.642109E-4
2.850000E-9	-5.224512E-4
2.900000E-9	-5.430067E-4
2.950000E-9	-6.303671E-4
3.000000E-9	-6.886074E-4
3.050000E-9	-7.399959E-4
3.100000E-9	-7.365700E-4
3.150000E-9	-7.571254E-4
3.200000E-9	-7.588384E-4
3.250000E-9	-7.228664E-4
3.300000E-9	-6.714779E-4
3.350000E-9	-6.012470E-4
3.400000E-9	-5.138865E-4
3.450000E-9	-4.111095E-4
3.500000E-9	-3.288879E-4
3.550000E-9	-2.792123E-4
3.600000E-9	-2.278238E-4
3.650000E-9	-1.969907E-4
3.700000E-9	-2.021296E-4
3.750000E-9	-2.381015E-4
3.800000E-9	-3.117584E-4
3.850000E-9	-4.093965E-4
3.900000E-9	-5.018958E-4
3.950000E-9	-5.995340E-4
4.000000E-9	-6.783297E-4
4.050000E-9	-7.262923E-4
4.100000E-9	-7.519866E-4
4.150000E-9	-7.297182E-4
4.200000E-9	-7.451348E-4
4.250000E-9	-7.417089E-4
