Study Name	VanadiumIrradiated_V3plus
Sample Name	2022-01-04
Run Name	unirradiated_15
Operator	Angus
Date	1/4/2022
Time	13:59
Sign	NEG
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	13:59:42
	
Time	Amplitude
0.000000E+0	-8.701771E-4
5.000000E-11	-8.804548E-4
1.000000E-10	-8.992973E-4
1.500000E-10	-8.958714E-4
2.000000E-10	-8.701771E-4
2.500000E-10	-8.307793E-4
3.000000E-10	-7.879555E-4
3.500000E-10	-7.228634E-4
4.000000E-10	-6.697620E-4
4.500000E-10	-6.269382E-4
5.000000E-10	-5.686979E-4
5.500000E-10	-5.258742E-4
6.000000E-10	-5.104576E-4
6.500000E-10	-5.173094E-4
7.000000E-10	-5.378648E-4
7.500000E-10	-5.652720E-4
8.000000E-10	-6.200864E-4
8.500000E-10	-6.920303E-4
9.000000E-10	-7.554095E-4
9.500000E-10	-8.033721E-4
1.000000E-9	-8.461958E-4
1.050000E-9	-8.753160E-4
1.100000E-9	-8.873066E-4
1.150000E-9	-8.821678E-4
1.200000E-9	-8.616124E-4
1.250000E-9	-8.410570E-4
1.300000E-9	-8.016591E-4
1.350000E-9	-7.725390E-4
1.400000E-9	-7.262893E-4
1.450000E-9	-7.160116E-4
1.500000E-9	-6.937433E-4
1.550000E-9	-7.040210E-4
1.600000E-9	-7.160116E-4
1.650000E-9	-7.554095E-4
1.700000E-9	-7.913814E-4
1.750000E-9	-8.359181E-4
1.800000E-9	-8.907325E-4
1.850000E-9	-9.318433E-4
1.900000E-9	-9.712412E-4
1.950000E-9	-9.952225E-4
2.000000E-9	-1.008926E-3
2.050000E-9	-1.026056E-3
2.100000E-9	-1.017491E-3
2.150000E-9	-9.969354E-4
2.200000E-9	-9.661023E-4
2.250000E-9	-9.352692E-4
2.300000E-9	-9.027232E-4
2.350000E-9	-8.736030E-4
2.400000E-9	-8.547606E-4
2.450000E-9	-8.256404E-4
2.500000E-9	-8.033721E-4
2.550000E-9	-7.965203E-4
2.600000E-9	-7.930944E-4
2.650000E-9	-7.948073E-4
2.700000E-9	-8.187886E-4
2.750000E-9	-8.616124E-4
2.800000E-9	-8.855937E-4
2.850000E-9	-9.095750E-4
2.900000E-9	-9.472599E-4
2.950000E-9	-9.952225E-4
3.000000E-9	-1.027769E-3
3.050000E-9	-1.029481E-3
3.100000E-9	-1.032907E-3
3.150000E-9	-1.027769E-3
3.200000E-9	-1.026056E-3
3.250000E-9	-1.003787E-3
3.300000E-9	-1.008926E-3
3.350000E-9	-9.866577E-4
3.400000E-9	-9.798059E-4
3.450000E-9	-9.883707E-4
3.500000E-9	-9.917966E-4
3.550000E-9	-9.883707E-4
3.600000E-9	-9.849448E-4
3.650000E-9	-9.866577E-4
3.700000E-9	-9.935095E-4
3.750000E-9	-9.609635E-4
3.800000E-9	-9.249915E-4
3.850000E-9	-8.975843E-4
3.900000E-9	-8.753160E-4
3.950000E-9	-8.273534E-4
4.000000E-9	-7.708260E-4
4.050000E-9	-7.588354E-4
4.100000E-9	-7.382800E-4
4.150000E-9	-7.468447E-4
4.200000E-9	-7.502706E-4
4.250000E-9	-7.896685E-4
4.300000E-9	-8.324922E-4
4.350000E-9	-8.821678E-4
4.400000E-9	-9.267045E-4
4.450000E-9	-9.849448E-4
4.500000E-9	-1.026056E-3
4.550000E-9	-1.056889E-3
4.600000E-9	-1.050037E-3
4.650000E-9	-1.055176E-3
4.700000E-9	-1.029481E-3
4.750000E-9	-9.952225E-4
4.800000E-9	-9.575376E-4
4.850000E-9	-9.352692E-4
4.900000E-9	-9.130009E-4
4.950000E-9	-8.992973E-4
5.000000E-9	-9.027232E-4
5.050000E-9	-9.147138E-4
5.100000E-9	-9.421210E-4
5.150000E-9	-9.609635E-4
5.200000E-9	-1.002074E-3
5.250000E-9	-1.022630E-3
5.300000E-9	-1.043185E-3
5.350000E-9	-1.051750E-3
5.400000E-9	-1.014065E-3
5.450000E-9	-9.609635E-4
5.500000E-9	-9.010102E-4
5.550000E-9	-8.324922E-4
5.600000E-9	-7.314282E-4
5.650000E-9	-6.457807E-4
5.700000E-9	-5.772627E-4
5.750000E-9	-5.224483E-4
5.800000E-9	-4.744857E-4
5.850000E-9	-4.624950E-4
5.900000E-9	-4.899022E-4
5.950000E-9	-5.310130E-4
6.000000E-9	-5.704109E-4
6.050000E-9	-6.320771E-4
6.100000E-9	-6.971692E-4
6.150000E-9	-7.417059E-4
6.200000E-9	-7.913814E-4
6.250000E-9	-8.427699E-4
6.300000E-9	-8.838807E-4
6.350000E-9	-9.044361E-4
6.400000E-9	-9.421210E-4
6.450000E-9	-9.866577E-4
6.500000E-9	-1.026056E-3
6.550000E-9	-1.109990E-3
6.600000E-9	-1.240174E-3
6.650000E-9	-1.416608E-3
6.700000E-9	-1.668412E-3
6.750000E-9	-2.016141E-3
6.800000E-9	-2.483776E-3
6.850000E-9	-3.081596E-3
6.900000E-9	-3.818164E-3
6.950000E-9	-4.676352E-3
7.000000E-9	-5.671576E-3
7.050000E-9	-6.776429E-3
7.100000E-9	-7.939522E-3
7.150000E-9	-9.155717E-3
7.200000E-9	-1.036163E-2
7.250000E-9	-1.149047E-2
7.300000E-9	-1.251481E-2
7.350000E-9	-1.338842E-2
7.400000E-9	-1.412327E-2
7.450000E-9	-1.465257E-2
7.500000E-9	-1.504141E-2
7.550000E-9	-1.523669E-2
7.600000E-9	-1.534461E-2
7.650000E-9	-1.539257E-2
7.700000E-9	-1.544224E-2
7.750000E-9	-1.552960E-2
7.800000E-9	-1.566321E-2
7.850000E-9	-1.591159E-2
7.900000E-9	-1.627302E-2
7.950000E-9	-1.672353E-2
8.000000E-9	-1.724427E-2
8.050000E-9	-1.782324E-2
8.100000E-9	-1.838509E-2
8.150000E-9	-1.888699E-2
8.200000E-9	-1.931008E-2
8.250000E-9	-1.961842E-2
8.300000E-9	-1.978457E-2
8.350000E-9	-1.978628E-2
8.400000E-9	-1.965953E-2
8.450000E-9	-1.937518E-2
8.500000E-9	-1.894865E-2
8.550000E-9	-1.843134E-2
8.600000E-9	-1.785236E-2
8.650000E-9	-1.718945E-2
8.700000E-9	-1.653853E-2
8.750000E-9	-1.587391E-2
8.800000E-9	-1.522812E-2
8.850000E-9	-1.461318E-2
8.900000E-9	-1.404790E-2
8.950000E-9	-1.349976E-2
9.000000E-9	-1.297388E-2
9.050000E-9	-1.249597E-2
9.100000E-9	-1.204546E-2
9.150000E-9	-1.163949E-2
9.200000E-9	-1.125237E-2
9.250000E-9	-1.092348E-2
9.300000E-9	-1.064598E-2
9.350000E-9	-1.042673E-2
9.400000E-9	-1.025714E-2
9.450000E-9	-1.016293E-2
9.500000E-9	-1.012353E-2
9.550000E-9	-1.012182E-2
9.600000E-9	-1.019205E-2
9.650000E-9	-1.031367E-2
9.700000E-9	-1.043700E-2
9.750000E-9	-1.056890E-2
9.800000E-9	-1.071450E-2
9.850000E-9	-1.087381E-2
9.900000E-9	-1.103482E-2
9.950000E-9	-1.120612E-2
1.000000E-8	-1.138084E-2
1.005000E-8	-1.161380E-2
1.010000E-8	-1.186560E-2
1.015000E-8	-1.218935E-2
1.020000E-8	-1.255764E-2
1.025000E-8	-1.299444E-2
1.030000E-8	-1.344666E-2
1.035000E-8	-1.395369E-2
1.040000E-8	-1.446415E-2
1.045000E-8	-1.497632E-2
1.050000E-8	-1.545766E-2
1.055000E-8	-1.587905E-2
1.060000E-8	-1.622335E-2
1.065000E-8	-1.648029E-2
1.070000E-8	-1.665672E-2
1.075000E-8	-1.672353E-2
1.080000E-8	-1.671325E-2
1.085000E-8	-1.660705E-2
1.090000E-8	-1.645288E-2
1.095000E-8	-1.622164E-2
1.100000E-8	-1.594928E-2
1.105000E-8	-1.564437E-2
1.110000E-8	-1.530178E-2
1.115000E-8	-1.496604E-2
1.120000E-8	-1.458748E-2
1.125000E-8	-1.421406E-2
1.130000E-8	-1.381837E-2
1.135000E-8	-1.344837E-2
1.140000E-8	-1.304411E-2
1.145000E-8	-1.264328E-2
1.150000E-8	-1.226643E-2
1.155000E-8	-1.187417E-2
1.160000E-8	-1.151445E-2
1.165000E-8	-1.117871E-2
1.170000E-8	-1.088580E-2
1.175000E-8	-1.061001E-2
1.180000E-8	-1.036849E-2
1.185000E-8	-1.014751E-2
