Study Name	VanadiumIrradiated_V3plus
Sample Name	2022-01-04
Run Name	unirradiated_13
Operator	Angus
Date	1/4/2022
Time	13:57
Sign	FIX
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	13:57:53
	
Time	Amplitude
0.000000E+0	-1.281288E-3
5.000000E-11	-1.247029E-3
1.000000E-10	-1.163095E-3
1.500000E-10	-1.050040E-3
2.000000E-10	-9.284204E-4
2.500000E-10	-8.239305E-4
3.000000E-10	-6.714779E-4
3.500000E-10	-5.532844E-4
4.000000E-10	-4.830534E-4
4.500000E-10	-4.282390E-4
5.000000E-10	-3.854152E-4
5.500000E-10	-4.470814E-4
6.000000E-10	-4.950440E-4
6.500000E-10	-5.618491E-4
7.000000E-10	-6.337930E-4
7.500000E-10	-7.194405E-4
8.000000E-10	-7.879585E-4
8.500000E-10	-8.479118E-4
9.000000E-10	-8.787449E-4
9.500000E-10	-8.753190E-4
1.000000E-9	-8.701801E-4
1.050000E-9	-8.393470E-4
1.100000E-9	-8.016621E-4
1.150000E-9	-7.502736E-4
1.200000E-9	-7.297182E-4
1.250000E-9	-7.485607E-4
1.300000E-9	-7.828197E-4
1.350000E-9	-8.410600E-4
1.400000E-9	-8.941614E-4
1.450000E-9	-9.969384E-4
1.500000E-9	-1.067169E-3
1.550000E-9	-1.140826E-3
1.600000E-9	-1.209344E-3
1.650000E-9	-1.264159E-3
1.700000E-9	-1.301844E-3
1.750000E-9	-1.332677E-3
1.800000E-9	-1.318973E-3
1.850000E-9	-1.252168E-3
1.900000E-9	-1.161382E-3
1.950000E-9	-1.053466E-3
2.000000E-9	-9.592535E-4
2.050000E-9	-8.753190E-4
2.100000E-9	-7.948103E-4
2.150000E-9	-7.725420E-4
2.200000E-9	-7.571254E-4
2.250000E-9	-7.571254E-4
2.300000E-9	-7.434218E-4
2.350000E-9	-7.845326E-4
2.400000E-9	-8.102269E-4
2.450000E-9	-8.239305E-4
2.500000E-9	-8.410600E-4
2.550000E-9	-8.616154E-4
2.600000E-9	-8.718931E-4
2.650000E-9	-8.359211E-4
2.700000E-9	-8.273564E-4
2.750000E-9	-8.239305E-4
2.800000E-9	-8.016621E-4
2.850000E-9	-8.170787E-4
2.900000E-9	-8.085139E-4
2.950000E-9	-8.102269E-4
3.000000E-9	-8.050880E-4
3.050000E-9	-7.502736E-4
3.100000E-9	-6.886074E-4
3.150000E-9	-6.046729E-4
3.200000E-9	-5.378678E-4
3.250000E-9	-4.385167E-4
3.300000E-9	-3.237490E-4
3.350000E-9	-1.918519E-4
3.400000E-9	-8.907489E-5
3.450000E-9	1.370212E-5
3.500000E-9	1.062014E-4
3.550000E-9	1.387475E-4
3.600000E-9	1.267568E-4
3.650000E-9	8.735897E-5
3.700000E-9	2.569277E-5
3.750000E-9	-7.194539E-5
3.800000E-9	-1.867130E-4
3.850000E-9	-2.774994E-4
3.900000E-9	-3.665728E-4
3.950000E-9	-4.419426E-4
4.000000E-9	-4.744886E-4
4.050000E-9	-4.642109E-4
4.100000E-9	-4.333778E-4
4.150000E-9	-3.939800E-4
4.200000E-9	-3.717116E-4
4.250000E-9	-3.665728E-4
4.300000E-9	-3.734246E-4
4.350000E-9	-4.093965E-4
4.400000E-9	-4.505073E-4
4.450000E-9	-5.190253E-4
4.500000E-9	-6.200894E-4
4.550000E-9	-7.674031E-4
4.600000E-9	-9.455499E-4
4.650000E-9	-1.121984E-3
4.700000E-9	-1.252168E-3
4.750000E-9	-1.372074E-3
4.800000E-9	-1.426889E-3
4.850000E-9	-1.464574E-3
4.900000E-9	-1.435454E-3
4.950000E-9	-1.354945E-3
5.000000E-9	-1.235038E-3
5.050000E-9	-1.099715E-3
5.100000E-9	-9.575406E-4
5.150000E-9	-8.205046E-4
