Study Name	VanadiumIrradiated_V3plus
Sample Name	2022-01-04
Run Name	unirradiated_7
Operator	Angus
Date	1/4/2022
Time	13:51
Sign	FIX
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	13:51:38
	
Time	Amplitude
0.000000E+0	-2.175461E-4
5.000000E-11	-3.014807E-4
1.000000E-10	-3.511562E-4
1.500000E-10	-3.922670E-4
2.000000E-10	-4.145354E-4
2.500000E-10	-4.316649E-4
3.000000E-10	-3.974059E-4
3.500000E-10	-3.648598E-4
4.000000E-10	-3.460174E-4
4.500000E-10	-2.860641E-4
5.000000E-10	-2.381015E-4
5.500000E-10	-2.226850E-4
6.000000E-10	-2.278238E-4
6.500000E-10	-2.432404E-4
7.000000E-10	-2.363886E-4
7.500000E-10	-2.757864E-4
8.000000E-10	-3.066195E-4
8.500000E-10	-3.323138E-4
9.000000E-10	-3.408785E-4
9.500000E-10	-3.460174E-4
1.000000E-9	-3.477303E-4
1.050000E-9	-3.271749E-4
1.100000E-9	-3.168972E-4
1.150000E-9	-3.151843E-4
1.200000E-9	-3.374526E-4
1.250000E-9	-3.597210E-4
1.300000E-9	-3.837023E-4
1.350000E-9	-4.333778E-4
1.400000E-9	-5.001829E-4
1.450000E-9	-6.012470E-4
1.500000E-9	-6.800427E-4
1.550000E-9	-7.828197E-4
1.600000E-9	-9.249945E-4
1.650000E-9	-1.043188E-3
1.700000E-9	-1.132261E-3
1.750000E-9	-1.190502E-3
1.800000E-9	-1.223048E-3
1.850000E-9	-1.219622E-3
1.900000E-9	-1.216196E-3
1.950000E-9	-1.154530E-3
2.000000E-9	-1.062031E-3
2.050000E-9	-9.421240E-4
2.100000E-9	-8.136528E-4
2.150000E-9	-6.988851E-4
2.200000E-9	-6.286542E-4
2.250000E-9	-6.115247E-4
2.300000E-9	-6.252283E-4
2.350000E-9	-6.355060E-4
2.400000E-9	-6.303671E-4
2.450000E-9	-6.577743E-4
2.500000E-9	-6.560614E-4
2.550000E-9	-6.303671E-4
2.600000E-9	-5.498585E-4
2.650000E-9	-4.813404E-4
2.700000E-9	-4.470814E-4
2.750000E-9	-3.717116E-4
2.800000E-9	-3.408785E-4
2.850000E-9	-3.014807E-4
2.900000E-9	-2.963418E-4
2.950000E-9	-2.860641E-4
3.000000E-9	-2.980548E-4
3.050000E-9	-3.134713E-4
3.100000E-9	-3.425915E-4
3.150000E-9	-3.682857E-4
3.200000E-9	-4.008318E-4
3.250000E-9	-3.956929E-4
3.300000E-9	-4.128224E-4
3.350000E-9	-4.145354E-4
3.400000E-9	-4.248131E-4
3.450000E-9	-4.248131E-4
3.500000E-9	-4.213872E-4
3.550000E-9	-3.991188E-4
3.600000E-9	-4.093965E-4
