Study Name	V_single_crystal
Sample Name	0dpa
Run Name	85degreesSpot3
Operator	Angus Wylie
Date	8/5/2019
Time	14:30
Sign	FIX
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	14:32:21
	
Time	Amplitude
9.250000E-9	4.789751E-2
9.300000E-9	4.611604E-2
9.350000E-9	4.439281E-2
9.400000E-9	4.277236E-2
9.450000E-9	4.127524E-2
9.500000E-9	3.989975E-2
9.550000E-9	3.866642E-2
9.600000E-9	3.758898E-2
9.650000E-9	3.666227E-2
9.700000E-9	3.587431E-2
9.750000E-9	3.520112E-2
9.800000E-9	3.462043E-2
9.850000E-9	3.414423E-2
9.900000E-9	3.377766E-2
9.950000E-9	3.347618E-2
1.000000E-8	3.322438E-2
1.005000E-8	3.303595E-2
1.010000E-8	3.289549E-2
1.015000E-8	3.279272E-2
1.020000E-8	3.273961E-2
1.025000E-8	3.274304E-2
1.030000E-8	3.281327E-2
1.035000E-8	3.295202E-2
1.040000E-8	3.312674E-2
1.045000E-8	3.336998E-2
1.050000E-8	3.372970E-2
1.055000E-8	3.419391E-2
1.060000E-8	3.472664E-2
1.065000E-8	3.533645E-2
1.070000E-8	3.603190E-2
1.075000E-8	3.679417E-2
1.080000E-8	3.762666E-2
1.085000E-8	3.851739E-2
1.090000E-8	3.942526E-2
1.095000E-8	4.032456E-2
1.100000E-8	4.118960E-2
1.105000E-8	4.198098E-2
1.110000E-8	4.267301E-2
1.115000E-8	4.327426E-2
1.120000E-8	4.376759E-2
1.125000E-8	4.411703E-2
1.130000E-8	4.431744E-2
1.135000E-8	4.436027E-2
1.140000E-8	4.421981E-2
1.145000E-8	4.391319E-2
1.150000E-8	4.345754E-2
1.155000E-8	4.286315E-2
1.160000E-8	4.215741E-2
1.165000E-8	4.137117E-2
1.170000E-8	4.050784E-2
1.175000E-8	3.959313E-2
1.180000E-8	3.865957E-2
1.185000E-8	3.772259E-2
1.190000E-8	3.678903E-2
1.195000E-8	3.586917E-2
1.200000E-8	3.498187E-2
1.205000E-8	3.414766E-2
1.210000E-8	3.334429E-2
1.215000E-8	3.254434E-2
1.220000E-8	3.176323E-2
1.225000E-8	3.099412E-2
1.230000E-8	3.021644E-2
1.235000E-8	2.947816E-2
1.240000E-8	2.880668E-2
1.245000E-8	2.816604E-2
1.250000E-8	2.758021E-2
1.255000E-8	2.710743E-2
1.260000E-8	2.673572E-2
1.265000E-8	2.646165E-2
1.270000E-8	2.630920E-2
1.275000E-8	2.626980E-2
1.280000E-8	2.634860E-2
1.285000E-8	2.657985E-2
1.290000E-8	2.693443E-2
1.295000E-8	2.737123E-2
1.300000E-8	2.790567E-2
1.305000E-8	2.853603E-2
1.310000E-8	2.922293E-2
1.315000E-8	2.993038E-2
1.320000E-8	3.066694E-2
1.325000E-8	3.142921E-2
1.330000E-8	3.220346E-2
1.335000E-8	3.297943E-2
1.340000E-8	3.376225E-2
1.345000E-8	3.455534E-2
1.350000E-8	3.532788E-2
1.355000E-8	3.605246E-2
1.360000E-8	3.673764E-2
1.365000E-8	3.734745E-2
1.370000E-8	3.785277E-2
1.375000E-8	3.827929E-2
1.380000E-8	3.862360E-2
1.385000E-8	3.885998E-2
1.390000E-8	3.899702E-2
1.395000E-8	3.903128E-2
1.400000E-8	3.894563E-2
1.405000E-8	3.873837E-2
1.410000E-8	3.842318E-2
1.415000E-8	3.800522E-2
1.420000E-8	3.749476E-2
1.425000E-8	3.689523E-2
1.430000E-8	3.622718E-2
1.435000E-8	3.549918E-2
1.440000E-8	3.471293E-2
1.445000E-8	3.387359E-2
1.450000E-8	3.298971E-2
1.455000E-8	3.208527E-2
1.460000E-8	3.117398E-2
1.465000E-8	3.027125E-2
1.470000E-8	2.938223E-2
1.475000E-8	2.852747E-2
1.480000E-8	2.771724E-2
1.485000E-8	2.694642E-2
1.490000E-8	2.621156E-2
1.495000E-8	2.552809E-2
1.500000E-8	2.490629E-2
1.505000E-8	2.435301E-2
1.510000E-8	2.387510E-2
1.515000E-8	2.351367E-2
1.520000E-8	2.327385E-2
1.525000E-8	2.312825E-2
1.530000E-8	2.309399E-2
1.535000E-8	2.321390E-2
1.540000E-8	2.348968E-2
1.545000E-8	2.389737E-2
1.550000E-8	2.442667E-2
1.555000E-8	2.506046E-2
1.560000E-8	2.578161E-2
1.565000E-8	2.656786E-2
1.570000E-8	2.738151E-2
1.575000E-8	2.820372E-2
1.580000E-8	2.903793E-2
1.585000E-8	2.984473E-2
1.590000E-8	3.059329E-2
1.595000E-8	3.131615E-2
1.600000E-8	3.203388E-2
1.605000E-8	3.270536E-2
1.610000E-8	3.334086E-2
1.615000E-8	3.396095E-2
