Study Name	Fe_single_crystal
Sample Name	0dpa
Run Name	10degreesSpot03
Operator	Angus Wylie
Date	8/5/2019
Time	13:01
Sign	FIX
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	13:02:57
	
Time	Amplitude
9.300000E-9	5.380024E-2
9.350000E-9	5.152373E-2
9.400000E-9	4.920783E-2
9.450000E-9	4.695702E-2
9.500000E-9	4.479699E-2
9.550000E-9	4.276886E-2
9.600000E-9	4.095314E-2
9.650000E-9	3.937380E-2
9.700000E-9	3.805655E-2
9.750000E-9	3.705447E-2
9.800000E-9	3.634874E-2
9.850000E-9	3.591022E-2
9.900000E-9	3.574578E-2
9.950000E-9	3.586911E-2
1.000000E-8	3.625966E-2
1.005000E-8	3.689174E-2
1.010000E-8	3.773108E-2
1.015000E-8	3.873658E-2
1.020000E-8	3.989625E-2
1.025000E-8	4.118952E-2
1.030000E-8	4.257358E-2
1.035000E-8	4.400561E-2
1.040000E-8	4.546675E-2
1.045000E-8	4.692618E-2
1.050000E-8	4.835478E-2
1.055000E-8	4.973028E-2
1.060000E-8	5.101327E-2
1.065000E-8	5.218322E-2
1.070000E-8	5.322469E-2
1.075000E-8	5.410172E-2
1.080000E-8	5.477491E-2
1.085000E-8	5.525967E-2
1.090000E-8	5.556629E-2
1.095000E-8	5.568277E-2
1.100000E-8	5.562453E-2
1.105000E-8	5.538300E-2
1.110000E-8	5.496333E-2
1.115000E-8	5.438778E-2
1.120000E-8	5.363751E-2
1.125000E-8	5.269710E-2
1.130000E-8	5.159054E-2
1.135000E-8	5.035379E-2
1.140000E-8	4.899714E-2
1.145000E-8	4.754284E-2
1.150000E-8	4.599948E-2
1.155000E-8	4.438074E-2
1.160000E-8	4.270719E-2
1.165000E-8	4.100281E-2
1.170000E-8	3.929843E-2
1.175000E-8	3.763687E-2
1.180000E-8	3.607980E-2
1.185000E-8	3.465806E-2
1.190000E-8	3.338876E-2
1.195000E-8	3.230447E-2
1.200000E-8	3.145484E-2
1.205000E-8	3.084675E-2
1.210000E-8	3.047675E-2
1.215000E-8	3.038597E-2
1.220000E-8	3.057268E-2
1.225000E-8	3.100091E-2
1.230000E-8	3.165012E-2
1.235000E-8	3.251858E-2
1.240000E-8	3.357033E-2
1.245000E-8	3.473685E-2
1.250000E-8	3.601471E-2
1.255000E-8	3.739534E-2
1.260000E-8	3.880681E-2
1.265000E-8	4.024226E-2
1.270000E-8	4.172396E-2
1.275000E-8	4.318853E-2
1.280000E-8	4.459315E-2
1.285000E-8	4.595837E-2
1.290000E-8	4.724136E-2
1.295000E-8	4.838390E-2
1.300000E-8	4.937056E-2
1.305000E-8	5.020647E-2
1.310000E-8	5.085568E-2
1.315000E-8	5.130105E-2
1.320000E-8	5.153401E-2
1.325000E-8	5.151859E-2
1.330000E-8	5.123082E-2
1.335000E-8	5.071008E-2
1.340000E-8	4.999407E-2
1.345000E-8	4.904681E-2
1.350000E-8	4.788886E-2
1.355000E-8	4.659558E-2
1.360000E-8	4.519953E-2
1.365000E-8	4.368015E-2
1.370000E-8	4.204771E-2
1.375000E-8	4.037245E-2
1.380000E-8	3.869033E-2
1.385000E-8	3.700822E-2
1.390000E-8	3.533296E-2
1.395000E-8	3.369709E-2
1.400000E-8	3.216229E-2
1.405000E-8	3.073883E-2
1.410000E-8	2.944898E-2
1.415000E-8	2.835270E-2
1.420000E-8	2.743285E-2
1.425000E-8	2.669457E-2
1.430000E-8	2.622864E-2
1.435000E-8	2.605735E-2
1.440000E-8	2.611902E-2
1.445000E-8	2.642221E-2
1.450000E-8	2.701660E-2
1.455000E-8	2.785423E-2
1.460000E-8	2.889913E-2
1.465000E-8	3.013930E-2
1.470000E-8	3.152336E-2
1.475000E-8	3.300335E-2
1.480000E-8	3.457926E-2
1.485000E-8	3.618258E-2
1.490000E-8	3.775164E-2
1.495000E-8	3.928301E-2
1.500000E-8	4.077156E-2
1.505000E-8	4.213678E-2
1.510000E-8	4.337182E-2
1.515000E-8	4.451264E-2
1.520000E-8	4.552156E-2
1.525000E-8	4.633179E-2
1.530000E-8	4.697414E-2
1.535000E-8	4.743664E-2
1.540000E-8	4.767816E-2
1.545000E-8	4.770043E-2
1.550000E-8	4.750002E-2
1.555000E-8	4.707521E-2
1.560000E-8	4.642771E-2
1.565000E-8	4.554897E-2
1.570000E-8	4.443384E-2
1.575000E-8	4.313200E-2
1.580000E-8	4.167771E-2
1.585000E-8	4.009495E-2
1.590000E-8	3.840770E-2
1.595000E-8	3.667762E-2
1.600000E-8	3.495953E-2
1.605000E-8	3.328256E-2
1.610000E-8	3.164156E-2
1.615000E-8	3.010333E-2
1.620000E-8	2.872441E-2
1.625000E-8	2.750308E-2
1.630000E-8	2.642392E-2
1.635000E-8	2.551777E-2
1.640000E-8	2.479319E-2
1.645000E-8	2.424334E-2
1.650000E-8	2.388191E-2
1.655000E-8	2.372089E-2
1.660000E-8	2.375172E-2
1.665000E-8	2.396413E-2
1.670000E-8	2.438380E-2
1.675000E-8	2.499018E-2
1.680000E-8	2.575929E-2
1.685000E-8	2.669970E-2
1.690000E-8	2.780455E-2
1.695000E-8	2.903445E-2
1.700000E-8	3.036370E-2
1.705000E-8	3.177859E-2
1.710000E-8	3.324487E-2
1.715000E-8	3.472315E-2
1.720000E-8	3.618258E-2
1.725000E-8	3.759747E-2
1.730000E-8	3.891644E-2
1.735000E-8	4.009495E-2
1.740000E-8	4.112100E-2
1.745000E-8	4.199632E-2
1.750000E-8	4.269349E-2
1.755000E-8	4.317654E-2
1.760000E-8	4.345061E-2
1.765000E-8	4.353283E-2
1.770000E-8	4.339408E-2
1.775000E-8	4.301895E-2
1.780000E-8	4.243141E-2
1.785000E-8	4.163831E-2
1.790000E-8	4.063967E-2
1.795000E-8	3.946630E-2
1.800000E-8	3.813876E-2
1.805000E-8	3.666563E-2
1.810000E-8	3.507259E-2
1.815000E-8	3.341960E-2
1.820000E-8	3.175461E-2
1.825000E-8	3.009990E-2
1.830000E-8	2.848802E-2
1.835000E-8	2.695665E-2
1.840000E-8	2.554689E-2
1.845000E-8	2.426903E-2
1.850000E-8	2.314705E-2
1.855000E-8	2.219637E-2
1.860000E-8	2.143239E-2
1.865000E-8	2.086883E-2
1.870000E-8	2.049712E-2
1.875000E-8	2.031384E-2
1.880000E-8	2.034810E-2
1.885000E-8	2.059476E-2
1.890000E-8	2.101443E-2
1.895000E-8	2.160711E-2
1.900000E-8	2.241562E-2
1.905000E-8	2.341598E-2
1.910000E-8	2.452083E-2
1.915000E-8	2.574217E-2
1.920000E-8	2.711081E-2
1.925000E-8	2.856510E-2
1.930000E-8	3.002967E-2
1.935000E-8	3.150966E-2
1.940000E-8	3.297251E-2
1.945000E-8	3.437199E-2
1.950000E-8	3.569267E-2
1.955000E-8	3.689516E-2
1.960000E-8	3.792122E-2
1.965000E-8	3.877427E-2
1.970000E-8	3.946801E-2
1.975000E-8	3.996134E-2
1.980000E-8	4.023370E-2
1.985000E-8	4.032106E-2
1.990000E-8	4.021999E-2
1.995000E-8	3.989967E-2
2.000000E-8	3.937208E-2
2.005000E-8	3.866635E-2
2.010000E-8	3.779617E-2
2.015000E-8	3.678211E-2
2.020000E-8	3.563101E-2
2.025000E-8	3.435486E-2
2.030000E-8	3.300677E-2
2.035000E-8	3.162614E-2
2.040000E-8	3.021467E-2
2.045000E-8	2.879806E-2
2.050000E-8	2.738660E-2
2.055000E-8	2.600253E-2
2.060000E-8	2.468699E-2
2.065000E-8	2.346395E-2
2.070000E-8	2.233511E-2
2.075000E-8	2.131934E-2
2.080000E-8	2.043717E-2
2.085000E-8	1.972116E-2
2.090000E-8	1.918843E-2
2.095000E-8	1.882871E-2
2.100000E-8	1.866598E-2
2.105000E-8	1.873279E-2
2.110000E-8	1.901371E-2
2.115000E-8	1.948477E-2
2.120000E-8	2.016824E-2
2.125000E-8	2.106239E-2
2.130000E-8	2.211072E-2
2.135000E-8	2.327038E-2
2.140000E-8	2.453968E-2
2.145000E-8	2.587406E-2
2.150000E-8	2.721873E-2
2.155000E-8	2.855654E-2
2.160000E-8	2.987722E-2
2.165000E-8	3.111739E-2
2.170000E-8	3.227535E-2
2.175000E-8	3.333052E-2
2.180000E-8	3.423496E-2
2.185000E-8	3.498694E-2
2.190000E-8	3.561902E-2
2.195000E-8	3.607124E-2
2.200000E-8	3.631961E-2
2.205000E-8	3.639327E-2
2.210000E-8	3.627679E-2
2.215000E-8	3.594619E-2
2.220000E-8	3.545115E-2
2.225000E-8	3.480194E-2
2.230000E-8	3.398315E-2
2.235000E-8	3.300335E-2
2.240000E-8	3.190364E-2
2.245000E-8	3.069258E-2
2.250000E-8	2.940102E-2
2.255000E-8	2.805465E-2
2.260000E-8	2.665174E-2
2.265000E-8	2.521629E-2
2.270000E-8	2.379455E-2
2.275000E-8	2.240706E-2
2.280000E-8	2.105726E-2
2.285000E-8	1.979139E-2
2.290000E-8	1.863686E-2
2.295000E-8	1.759882E-2
2.300000E-8	1.671494E-2
2.305000E-8	1.602462E-2
2.310000E-8	1.554671E-2
2.315000E-8	1.528976E-2
2.320000E-8	1.527263E-2
2.325000E-8	1.547990E-2
2.330000E-8	1.588244E-2
2.335000E-8	1.648197E-2
2.340000E-8	1.726822E-2
2.345000E-8	1.820862E-2
2.350000E-8	1.927750E-2
2.355000E-8	2.044745E-2
2.360000E-8	2.169104E-2
2.365000E-8	2.299460E-2
2.370000E-8	2.432213E-2
2.375000E-8	2.563425E-2
2.380000E-8	2.691725E-2
2.385000E-8	2.816770E-2
2.390000E-8	2.933421E-2
2.395000E-8	3.039453E-2
2.400000E-8	3.134693E-2
2.405000E-8	3.216400E-2
2.410000E-8	3.281664E-2
2.415000E-8	3.329797E-2
2.420000E-8	3.359260E-2
2.425000E-8	3.369366E-2
2.430000E-8	3.361316E-2
2.435000E-8	3.336992E-2
2.440000E-8	3.296052E-2
2.445000E-8	3.237641E-2
2.450000E-8	3.163470E-2
2.455000E-8	3.074911E-2
2.460000E-8	2.971963E-2
2.465000E-8	2.856853E-2
2.470000E-8	2.731465E-2
2.475000E-8	2.597855E-2
2.480000E-8	2.457736E-2
2.485000E-8	2.314363E-2
2.490000E-8	2.172873E-2
2.495000E-8	2.035495E-2
2.500000E-8	1.902741E-2
2.505000E-8	1.777525E-2
2.510000E-8	1.665841E-2
2.515000E-8	1.568717E-2
2.520000E-8	1.486667E-2
2.525000E-8	1.421232E-2
2.530000E-8	1.374640E-2
2.535000E-8	1.347061E-2
2.540000E-8	1.337126E-2
2.545000E-8	1.346547E-2
2.550000E-8	1.375496E-2
2.555000E-8	1.423116E-2
2.560000E-8	1.487866E-2
2.565000E-8	1.568888E-2
2.570000E-8	1.666869E-2
2.575000E-8	1.779752E-2
2.580000E-8	1.902056E-2
2.585000E-8	2.031898E-2
2.590000E-8	2.167392E-2
2.595000E-8	2.305113E-2
2.600000E-8	2.442834E-2
2.605000E-8	2.577129E-2
2.610000E-8	2.702516E-2
2.615000E-8	2.818312E-2
2.620000E-8	2.926227E-2
2.625000E-8	3.019754E-2
2.630000E-8	3.093925E-2
2.635000E-8	3.150281E-2
2.640000E-8	3.188137E-2
2.645000E-8	3.204067E-2
2.650000E-8	3.196702E-2
2.655000E-8	3.167410E-2
2.660000E-8	3.116193E-2
2.665000E-8	3.045277E-2
2.670000E-8	2.957403E-2
2.675000E-8	2.856339E-2
2.680000E-8	2.742428E-2
2.685000E-8	2.618582E-2
2.690000E-8	2.488055E-2
2.695000E-8	2.353075E-2
2.700000E-8	2.218438E-2
2.705000E-8	2.087055E-2
2.710000E-8	1.959269E-2
2.715000E-8	1.833710E-2
2.720000E-8	1.712433E-2
2.725000E-8	1.601434E-2
2.730000E-8	1.502083E-2
2.735000E-8	1.411468E-2
2.740000E-8	1.332501E-2
2.745000E-8	1.270493E-2
2.750000E-8	1.226470E-2
2.755000E-8	1.200604E-2
2.760000E-8	1.193924E-2
2.765000E-8	1.206257E-2
2.770000E-8	1.238803E-2
2.775000E-8	1.291904E-2
2.780000E-8	1.362992E-2
2.785000E-8	1.451380E-2
2.790000E-8	1.554842E-2
2.795000E-8	1.668581E-2
2.800000E-8	1.788316E-2
2.805000E-8	1.914903E-2
2.810000E-8	2.044402E-2
2.815000E-8	2.171503E-2
2.820000E-8	2.294664E-2
2.825000E-8	2.412857E-2
2.830000E-8	2.521115E-2
2.835000E-8	2.617725E-2
2.840000E-8	2.702859E-2
2.845000E-8	2.774803E-2
2.850000E-8	2.830131E-2
2.855000E-8	2.869871E-2
2.860000E-8	2.894709E-2
2.865000E-8	2.902760E-2
2.870000E-8	2.895052E-2
2.875000E-8	2.872441E-2
2.880000E-8	2.833899E-2
2.885000E-8	2.780627E-2
2.890000E-8	2.713822E-2
2.895000E-8	2.635198E-2
2.900000E-8	2.546638E-2
2.905000E-8	2.447459E-2
2.910000E-8	2.338687E-2
2.915000E-8	2.223748E-2
2.920000E-8	2.103328E-2
2.925000E-8	1.977940E-2
2.930000E-8	1.851010E-2
2.935000E-8	1.724938E-2
2.940000E-8	1.600406E-2
2.945000E-8	1.483412E-2
2.950000E-8	1.377552E-2
2.955000E-8	1.283854E-2
2.960000E-8	1.203003E-2
2.965000E-8	1.137397E-2
2.970000E-8	1.092004E-2
2.975000E-8	1.067337E-2
2.980000E-8	1.060828E-2
2.985000E-8	1.074874E-2
2.990000E-8	1.109818E-2
2.995000E-8	1.162234E-2
3.000000E-8	1.227669E-2
3.005000E-8	1.306978E-2
3.010000E-8	1.397593E-2
3.015000E-8	1.497458E-2
3.020000E-8	1.605545E-2
3.025000E-8	1.720312E-2
3.030000E-8	1.836793E-2
3.035000E-8	1.953445E-2
3.040000E-8	2.069582E-2
3.045000E-8	2.184350E-2
3.050000E-8	2.294150E-2
3.055000E-8	2.395042E-2
3.060000E-8	2.485314E-2
3.065000E-8	2.563082E-2
3.070000E-8	2.626633E-2
3.075000E-8	2.675280E-2
3.080000E-8	2.707312E-2
3.085000E-8	2.719817E-2
3.090000E-8	2.711595E-2
3.095000E-8	2.686586E-2
3.100000E-8	2.645304E-2
3.105000E-8	2.584152E-2
3.110000E-8	2.506898E-2
3.115000E-8	2.421936E-2
3.120000E-8	2.327381E-2
3.125000E-8	2.221863E-2
3.130000E-8	2.111036E-2
3.135000E-8	1.997810E-2
3.140000E-8	1.883043E-2
3.145000E-8	1.768960E-2
3.150000E-8	1.655221E-2
3.155000E-8	1.543708E-2
3.160000E-8	1.438875E-2
3.165000E-8	1.339696E-2
3.170000E-8	1.244970E-2
3.175000E-8	1.158295E-2
3.180000E-8	1.084467E-2
3.185000E-8	1.026055E-2
3.190000E-8	9.827177E-3
3.195000E-8	9.546254E-3
3.200000E-8	9.436625E-3
3.205000E-8	9.522272E-3
3.210000E-8	9.796344E-3
3.215000E-8	1.023828E-2
3.220000E-8	1.083953E-2
3.225000E-8	1.159151E-2
3.230000E-8	1.246169E-2
3.235000E-8	1.341751E-2
3.240000E-8	1.442473E-2
3.245000E-8	1.546277E-2
3.250000E-8	1.651795E-2
3.255000E-8	1.757826E-2
3.260000E-8	1.861459E-2
3.265000E-8	1.960982E-2
3.270000E-8	2.056907E-2
3.275000E-8	2.147521E-2
3.280000E-8	2.230085E-2
3.285000E-8	2.303571E-2
3.290000E-8	2.368492E-2
3.295000E-8	2.421422E-2
3.300000E-8	2.460306E-2
3.305000E-8	2.485657E-2
3.310000E-8	2.496963E-2
3.315000E-8	2.492338E-2
3.320000E-8	2.472125E-2
3.325000E-8	2.435468E-2
3.330000E-8	2.381510E-2
3.335000E-8	2.314534E-2
3.340000E-8	2.236252E-2
3.345000E-8	2.143068E-2
3.350000E-8	2.037722E-2
3.355000E-8	1.926551E-2
3.360000E-8	1.811441E-2
3.365000E-8	1.693933E-2
3.370000E-8	1.578994E-2
3.375000E-8	1.467653E-2
3.380000E-8	1.359737E-2
3.385000E-8	1.257988E-2
3.390000E-8	1.167031E-2
3.395000E-8	1.086351E-2
3.400000E-8	1.015949E-2
3.405000E-8	9.585651E-3
3.410000E-8	9.138571E-3
3.415000E-8	8.818250E-3
3.420000E-8	8.645243E-3
3.425000E-8	8.631539E-3
3.430000E-8	8.751445E-3
3.435000E-8	9.023804E-3
3.440000E-8	9.469170E-3
3.445000E-8	1.006014E-2
3.450000E-8	1.076587E-2
3.455000E-8	1.157609E-2
3.460000E-8	1.248567E-2
3.465000E-8	1.347233E-2
3.470000E-8	1.450352E-2
3.475000E-8	1.555013E-2
3.480000E-8	1.658818E-2
3.485000E-8	1.759196E-2
3.490000E-8	1.853580E-2
3.495000E-8	1.939056E-2
3.500000E-8	2.014254E-2
3.505000E-8	2.079004E-2
3.510000E-8	2.133818E-2
3.515000E-8	2.175100E-2
3.520000E-8	2.202336E-2
3.525000E-8	2.217752E-2
3.530000E-8	2.221178E-2
3.535000E-8	2.208674E-2
3.540000E-8	2.182466E-2
3.545000E-8	2.145980E-2
3.550000E-8	2.097504E-2
3.555000E-8	2.036865E-2
3.560000E-8	1.966634E-2
3.565000E-8	1.884927E-2
3.570000E-8	1.792085E-2
3.575000E-8	1.694619E-2
3.580000E-8	1.593897E-2
3.585000E-8	1.489921E-2
3.590000E-8	1.387316E-2
3.595000E-8	1.287451E-2
3.600000E-8	1.190156E-2
3.605000E-8	1.102624E-2
3.610000E-8	1.025028E-2
3.615000E-8	9.544541E-3
3.620000E-8	8.951861E-3
3.625000E-8	8.516773E-3
3.630000E-8	8.199877E-3
3.635000E-8	7.984046E-3
3.640000E-8	7.920667E-3
3.645000E-8	7.989185E-3
3.650000E-8	8.151915E-3
3.655000E-8	8.410569E-3
3.660000E-8	8.794269E-3
3.665000E-8	9.285885E-3
3.670000E-8	9.873425E-3
3.675000E-8	1.055347E-2
3.680000E-8	1.131573E-2
3.685000E-8	1.217220E-2
3.690000E-8	1.309890E-2
3.695000E-8	1.405644E-2
3.700000E-8	1.502083E-2
3.705000E-8	1.600235E-2
3.710000E-8	1.696160E-2
3.715000E-8	1.785062E-2
3.720000E-8	1.867112E-2
3.725000E-8	1.940940E-2
